drawSystemId,drawDate,gameType,n1,n2,n3,n4,n5,n6
7229,2025-07-31T20:00:00Z,Lotto,12,24,25,28,32,37
7228,2025-07-29T20:00:00Z,Lotto,10,32,34,36,37,39
7227,2025-07-26T20:00:00Z,Lotto,19,20,21,32,42,43
7226,2025-07-24T20:00:00Z,Lotto,24,25,33,35,38,43
7225,2025-07-22T20:00:00Z,Lotto,10,28,35,39,41,46
7224,2025-07-19T20:00:00Z,Lotto,7,11,15,28,32,33
7223,2025-07-17T20:00:00Z,Lotto,2,13,21,22,29,35
7222,2025-07-15T20:00:00Z,Lotto,17,20,23,25,28,49
7221,2025-07-12T20:00:00Z,Lotto,2,12,17,22,34,43
7220,2025-07-10T20:00:00Z,Lotto,6,11,14,28,46,48
7219,2025-07-08T20:00:00Z,Lotto,3,5,12,13,24,38
7218,2025-07-05T20:00:00Z,Lotto,13,15,28,34,37,41
7217,2025-07-03T20:00:00Z,Lotto,1,8,24,44,46,49
7216,2025-07-01T20:00:00Z,Lotto,11,21,23,37,44,49
7215,2025-06-28T20:00:00Z,Lotto,12,22,23,24,32,47
7214,2025-06-26T20:00:00Z,Lotto,5,19,21,36,39,41
7213,2025-06-24T20:00:00Z,Lotto,3,4,11,31,41,47
7212,2025-06-21T20:00:00Z,Lotto,12,24,30,33,43,46
7211,2025-06-19T20:00:00Z,Lotto,16,19,30,42,44,49
7210,2025-06-17T20:00:00Z,Lotto,24,28,30,35,43,45
7209,2025-06-14T20:00:00Z,Lotto,7,8,21,30,39,47
7208,2025-06-12T20:00:00Z,Lotto,6,13,17,26,34,42
7207,2025-06-10T20:00:00Z,Lotto,16,19,28,34,39,42
7206,2025-06-07T20:00:00Z,Lotto,23,34,35,42,44,49
7205,2025-06-05T20:00:00Z,Lotto,1,17,21,22,26,31
7204,2025-06-03T20:00:00Z,Lotto,10,11,12,22,25,36
7203,2025-05-31T20:00:00Z,Lotto,18,21,22,41,42,45
7202,2025-05-29T20:00:00Z,Lotto,5,11,33,38,44,46
7201,2025-05-27T20:00:00Z,Lotto,7,10,17,24,33,35
7200,2025-05-24T20:00:00Z,Lotto,4,5,11,19,30,43
7199,2025-05-22T20:00:00Z,Lotto,18,32,39,42,44,45
7198,2025-05-20T20:00:00Z,Lotto,15,20,25,28,45,49
7197,2025-05-17T20:00:00Z,Lotto,2,5,25,30,32,49
7196,2025-05-15T20:00:00Z,Lotto,7,8,17,35,36,46
7195,2025-05-13T20:00:00Z,Lotto,8,16,18,29,33,40
7194,2025-05-10T20:00:00Z,Lotto,5,6,9,22,36,37
7193,2025-05-08T20:00:00Z,Lotto,5,8,9,25,35,38
7192,2025-05-06T20:00:00Z,Lotto,9,20,31,38,42,48
7191,2025-05-03T20:00:00Z,Lotto,1,2,6,10,28,37
7190,2025-05-01T20:00:00Z,Lotto,8,22,27,39,46,49
7189,2025-04-29T20:00:00Z,Lotto,4,20,24,31,32,48
7188,2025-04-26T20:00:00Z,Lotto,10,11,13,20,27,49
7187,2025-04-24T20:00:00Z,Lotto,2,5,14,37,42,43
7186,2025-04-22T20:00:00Z,Lotto,1,19,28,31,33,38
7185,2025-04-19T20:00:00Z,Lotto,3,4,7,36,37,38
7184,2025-04-17T20:00:00Z,Lotto,2,10,15,28,33,49
7183,2025-04-15T20:00:00Z,Lotto,5,15,19,21,25,26
7182,2025-04-12T20:00:00Z,Lotto,6,11,19,27,31,49
7181,2025-04-10T20:00:00Z,Lotto,1,22,23,24,42,44
7180,2025-04-08T20:00:00Z,Lotto,16,23,27,35,38,44
7179,2025-04-05T20:00:00Z,Lotto,7,21,25,29,37,39
7178,2025-04-03T20:00:00Z,Lotto,4,5,8,10,23,44
7177,2025-04-01T20:00:00Z,Lotto,6,15,20,21,27,40
7176,2025-03-29T21:00:00Z,Lotto,15,25,29,37,39,41
7175,2025-03-27T21:00:00Z,Lotto,16,17,20,31,35,45
7174,2025-03-25T21:00:00Z,Lotto,3,5,15,20,26,36
7173,2025-03-22T21:00:00Z,Lotto,17,19,35,39,46,48
7172,2025-03-20T21:00:00Z,Lotto,18,22,23,32,36,39
7171,2025-03-18T21:00:00Z,Lotto,24,25,30,39,44,46
