groupOfNumbers = 2
totalNumberOfDraws = 29
totalNumberOfNumbers = 174

numbers,count,probHistory,probTheory,expected,share

9-22,1,0.03448276,0.01275510,0.36989796,0.00229885
9-38,1,0.03448276,0.01275510,0.36989796,0.00229885
9-39,2,0.06896552,0.01275510,0.36989796,0.00459770
7-9,1,0.03448276,0.01275510,0.36989796,0.00229885
9-23,1,0.03448276,0.01275510,0.36989796,0.00229885
9-40,1,0.03448276,0.01275510,0.36989796,0.00229885
9-24,1,0.03448276,0.01275510,0.36989796,0.00229885
8-9,2,0.06896552,0.01275510,0.36989796,0.00459770
9-48,3,0.10344828,0.01275510,0.36989796,0.00689655
13-41,1,0.03448276,0.01275510,0.36989796,0.00229885
9-47,2,0.06896552,0.01275510,0.36989796,0.00459770
9-31,2,0.06896552,0.01275510,0.36989796,0.00459770
9-15,1,0.03448276,0.01275510,0.36989796,0.00229885
9-13,2,0.06896552,0.01275510,0.36989796,0.00459770
14-47,1,0.03448276,0.01275510,0.36989796,0.00229885
12-36,1,0.03448276,0.01275510,0.36989796,0.00229885
14-15,1,0.03448276,0.01275510,0.36989796,0.00229885
22-23,1,0.03448276,0.01275510,0.36989796,0.00229885
22-39,1,0.03448276,0.01275510,0.36989796,0.00229885
6-15,1,0.03448276,0.01275510,0.36989796,0.00229885
39-46,1,0.03448276,0.01275510,0.36989796,0.00229885
7-22,1,0.03448276,0.01275510,0.36989796,0.00229885
30-48,1,0.03448276,0.01275510,0.36989796,0.00229885
5-37,1,0.03448276,0.01275510,0.36989796,0.00229885
6-31,1,0.03448276,0.01275510,0.36989796,0.00229885
15-38,1,0.03448276,0.01275510,0.36989796,0.00229885
14-39,2,0.06896552,0.01275510,0.36989796,0.00459770
22-40,1,0.03448276,0.01275510,0.36989796,0.00229885
6-8,1,0.03448276,0.01275510,0.36989796,0.00229885
32-38,2,0.06896552,0.01275510,0.36989796,0.00459770
8-38,1,0.03448276,0.01275510,0.36989796,0.00229885
38-48,1,0.03448276,0.01275510,0.36989796,0.00229885
14-45,1,0.03448276,0.01275510,0.36989796,0.00229885
21-48,1,0.03448276,0.01275510,0.36989796,0.00229885
7-29,1,0.03448276,0.01275510,0.36989796,0.00229885
21-32,1,0.03448276,0.01275510,0.36989796,0.00229885
13-39,1,0.03448276,0.01275510,0.36989796,0.00229885
5-39,1,0.03448276,0.01275510,0.36989796,0.00229885
21-31,1,0.03448276,0.01275510,0.36989796,0.00229885
21-47,1,0.03448276,0.01275510,0.36989796,0.00229885
13-16,1,0.03448276,0.01275510,0.36989796,0.00229885
8-13,1,0.03448276,0.01275510,0.36989796,0.00229885
5-15,2,0.06896552,0.01275510,0.36989796,0.00459770
7-21,2,0.06896552,0.01275510,0.36989796,0.00459770
13-24,1,0.03448276,0.01275510,0.36989796,0.00229885
5-23,1,0.03448276,0.01275510,0.36989796,0.00229885
13-48,1,0.03448276,0.01275510,0.36989796,0.00229885
9-41,1,0.03448276,0.01275510,0.36989796,0.00229885
21-39,1,0.03448276,0.01275510,0.36989796,0.00229885
15-29,1,0.03448276,0.01275510,0.36989796,0.00229885
10-26,1,0.03448276,0.01275510,0.36989796,0.00229885
13-31,2,0.06896552,0.01275510,0.36989796,0.00459770
22-45,1,0.03448276,0.01275510,0.36989796,0.00229885
5-48,2,0.06896552,0.01275510,0.36989796,0.00459770
5-16,1,0.03448276,0.01275510,0.36989796,0.00229885
13-15,2,0.06896552,0.01275510,0.36989796,0.00459770
40-48,1,0.03448276,0.01275510,0.36989796,0.00229885
15-47,1,0.03448276,0.01275510,0.36989796,0.00229885
23-39,1,0.03448276,0.01275510,0.36989796,0.00229885
7-31,1,0.03448276,0.01275510,0.36989796,0.00229885
15-23,1,0.03448276,0.01275510,0.36989796,0.00229885
15-39,1,0.03448276,0.01275510,0.36989796,0.00229885
21-29,1,0.03448276,0.01275510,0.36989796,0.00229885
8-47,1,0.03448276,0.01275510,0.36989796,0.00229885
32-47,1,0.03448276,0.01275510,0.36989796,0.00229885
8-15,2,0.06896552,0.01275510,0.36989796,0.00459770
5-13,2,0.06896552,0.01275510,0.36989796,0.00459770
13-21,2,0.06896552,0.01275510,0.36989796,0.00459770
7-24,1,0.03448276,0.01275510,0.36989796,0.00229885
7-8,2,0.06896552,0.01275510,0.36989796,0.00459770
15-48,1,0.03448276,0.01275510,0.36989796,0.00229885
8-40,1,0.03448276,0.01275510,0.36989796,0.00229885
6-22,1,0.03448276,0.01275510,0.36989796,0.00229885
8-24,1,0.03448276,0.01275510,0.36989796,0.00229885
16-24,1,0.03448276,0.01275510,0.36989796,0.00229885
8-48,2,0.06896552,0.01275510,0.36989796,0.00459770
6-29,1,0.03448276,0.01275510,0.36989796,0.00229885
5-30,1,0.03448276,0.01275510,0.36989796,0.00229885
13-14,2,0.06896552,0.01275510,0.36989796,0.00459770
31-45,1,0.03448276,0.01275510,0.36989796,0.00229885
29-30,1,0.03448276,0.01275510,0.36989796,0.00229885
6-21,1,0.03448276,0.01275510,0.36989796,0.00229885
5-14,1,0.03448276,0.01275510,0.36989796,0.00229885
7-45,1,0.03448276,0.01275510,0.36989796,0.00229885
14-21,1,0.03448276,0.01275510,0.36989796,0.00229885
21-22,1,0.03448276,0.01275510,0.36989796,0.00229885
23-45,1,0.03448276,0.01275510,0.36989796,0.00229885
37-48,1,0.03448276,0.01275510,0.36989796,0.00229885
13-38,1,0.03448276,0.01275510,0.36989796,0.00229885
2-19,1,0.03448276,0.01275510,0.36989796,0.00229885
9-17,1,0.03448276,0.01275510,0.36989796,0.00229885
23-49,1,0.03448276,0.01275510,0.36989796,0.00229885
39-49,2,0.06896552,0.01275510,0.36989796,0.00459770
15-49,1,0.03448276,0.01275510,0.36989796,0.00229885
33-44,1,0.03448276,0.01275510,0.36989796,0.00229885
13-17,1,0.03448276,0.01275510,0.36989796,0.00229885
12-14,2,0.06896552,0.01275510,0.36989796,0.00459770
36-39,1,0.03448276,0.01275510,0.36989796,0.00229885
25-41,1,0.03448276,0.01275510,0.36989796,0.00229885
20-45,1,0.03448276,0.01275510,0.36989796,0.00229885
4-8,1,0.03448276,0.01275510,0.36989796,0.00229885
9-25,2,0.06896552,0.01275510,0.36989796,0.00459770
13-25,2,0.06896552,0.01275510,0.36989796,0.00459770
42-48,1,0.03448276,0.01275510,0.36989796,0.00229885
24-42,1,0.03448276,0.01275510,0.36989796,0.00229885
17-25,1,0.03448276,0.01275510,0.36989796,0.00229885
1-44,1,0.03448276,0.01275510,0.36989796,0.00229885
17-31,1,0.03448276,0.01275510,0.36989796,0.00229885
25-47,1,0.03448276,0.01275510,0.36989796,0.00229885
25-31,1,0.03448276,0.01275510,0.36989796,0.00229885
2-13,1,0.03448276,0.01275510,0.36989796,0.00229885
2-21,1,0.03448276,0.01275510,0.36989796,0.00229885
17-41,1,0.03448276,0.01275510,0.36989796,0.00229885
31-41,1,0.03448276,0.01275510,0.36989796,0.00229885
22-26,1,0.03448276,0.01275510,0.36989796,0.00229885
6-26,1,0.03448276,0.01275510,0.36989796,0.00229885
2-12,2,0.06896552,0.01275510,0.36989796,0.00459770
8-34,1,0.03448276,0.01275510,0.36989796,0.00229885
2-14,2,0.06896552,0.01275510,0.36989796,0.00459770
14-20,1,0.03448276,0.01275510,0.36989796,0.00229885
12-21,2,0.06896552,0.01275510,0.36989796,0.00459770
2-15,1,0.03448276,0.01275510,0.36989796,0.00229885
14-34,1,0.03448276,0.01275510,0.36989796,0.00229885
2-39,2,0.06896552,0.01275510,0.36989796,0.00459770
12-39,1,0.03448276,0.01275510,0.36989796,0.00229885
2-49,1,0.03448276,0.01275510,0.36989796,0.00229885
12-49,1,0.03448276,0.01275510,0.36989796,0.00229885
14-49,2,0.06896552,0.01275510,0.36989796,0.00459770
21-49,1,0.03448276,0.01275510,0.36989796,0.00229885
26-28,1,0.03448276,0.01275510,0.36989796,0.00229885
2-5,1,0.03448276,0.01275510,0.36989796,0.00229885
9-26,3,0.10344828,0.01275510,0.36989796,0.00689655
10-45,1,0.03448276,0.01275510,0.36989796,0.00229885
23-26,1,0.03448276,0.01275510,0.36989796,0.00229885
7-26,1,0.03448276,0.01275510,0.36989796,0.00229885
26-39,2,0.06896552,0.01275510,0.36989796,0.00459770
9-49,1,0.03448276,0.01275510,0.36989796,0.00229885
22-49,1,0.03448276,0.01275510,0.36989796,0.00229885
25-27,1,0.03448276,0.01275510,0.36989796,0.00229885
26-49,1,0.03448276,0.01275510,0.36989796,0.00229885
1-19,1,0.03448276,0.01275510,0.36989796,0.00229885
1-26,2,0.06896552,0.01275510,0.36989796,0.00459770
19-26,1,0.03448276,0.01275510,0.36989796,0.00229885
1-32,2,0.06896552,0.01275510,0.36989796,0.00459770
19-48,1,0.03448276,0.01275510,0.36989796,0.00229885
19-32,1,0.03448276,0.01275510,0.36989796,0.00229885
26-48,1,0.03448276,0.01275510,0.36989796,0.00229885
8-26,1,0.03448276,0.01275510,0.36989796,0.00229885
26-32,2,0.06896552,0.01275510,0.36989796,0.00459770
1-6,2,0.06896552,0.01275510,0.36989796,0.00459770
1-38,1,0.03448276,0.01275510,0.36989796,0.00229885
11-44,1,0.03448276,0.01275510,0.36989796,0.00229885
19-38,1,0.03448276,0.01275510,0.36989796,0.00229885
42-45,1,0.03448276,0.01275510,0.36989796,0.00229885
26-38,2,0.06896552,0.01275510,0.36989796,0.00459770
26-45,1,0.03448276,0.01275510,0.36989796,0.00229885
7-10,1,0.03448276,0.01275510,0.36989796,0.00229885
1-41,1,0.03448276,0.01275510,0.36989796,0.00229885
19-41,1,0.03448276,0.01275510,0.36989796,0.00229885
26-41,1,0.03448276,0.01275510,0.36989796,0.00229885
32-41,1,0.03448276,0.01275510,0.36989796,0.00229885
38-41,1,0.03448276,0.01275510,0.36989796,0.00229885
39-43,1,0.03448276,0.01275510,0.36989796,0.00229885
23-43,1,0.03448276,0.01275510,0.36989796,0.00229885
8-11,1,0.03448276,0.01275510,0.36989796,0.00229885
11-16,1,0.03448276,0.01275510,0.36989796,0.00229885
11-33,1,0.03448276,0.01275510,0.36989796,0.00229885
1-5,1,0.03448276,0.01275510,0.36989796,0.00229885
16-33,1,0.03448276,0.01275510,0.36989796,0.00229885
3-12,1,0.03448276,0.01275510,0.36989796,0.00229885
11-39,1,0.03448276,0.01275510,0.36989796,0.00229885
31-40,1,0.03448276,0.01275510,0.36989796,0.00229885
6-30,1,0.03448276,0.01275510,0.36989796,0.00229885
32-39,1,0.03448276,0.01275510,0.36989796,0.00229885
8-23,1,0.03448276,0.01275510,0.36989796,0.00229885
24-31,1,0.03448276,0.01275510,0.36989796,0.00229885
16-23,1,0.03448276,0.01275510,0.36989796,0.00229885
16-39,1,0.03448276,0.01275510,0.36989796,0.00229885
33-39,1,0.03448276,0.01275510,0.36989796,0.00229885
11-42,2,0.06896552,0.01275510,0.36989796,0.00459770
8-42,2,0.06896552,0.01275510,0.36989796,0.00459770
16-42,1,0.03448276,0.01275510,0.36989796,0.00229885
12-25,1,0.03448276,0.01275510,0.36989796,0.00229885
33-42,1,0.03448276,0.01275510,0.36989796,0.00229885
39-42,1,0.03448276,0.01275510,0.36989796,0.00229885
16-44,1,0.03448276,0.01275510,0.36989796,0.00229885
6-36,1,0.03448276,0.01275510,0.36989796,0.00229885
12-31,1,0.03448276,0.01275510,0.36989796,0.00229885
39-44,1,0.03448276,0.01275510,0.36989796,0.00229885
42-44,1,0.03448276,0.01275510,0.36989796,0.00229885
5-12,2,0.06896552,0.01275510,0.36989796,0.00459770
12-13,2,0.06896552,0.01275510,0.36989796,0.00459770
4-14,1,0.03448276,0.01275510,0.36989796,0.00229885
12-48,2,0.06896552,0.01275510,0.36989796,0.00459770
12-24,2,0.06896552,0.01275510,0.36989796,0.00459770
12-16,1,0.03448276,0.01275510,0.36989796,0.00229885
12-23,1,0.03448276,0.01275510,0.36989796,0.00229885
29-31,1,0.03448276,0.01275510,0.36989796,0.00229885
7-13,1,0.03448276,0.01275510,0.36989796,0.00229885
30-37,1,0.03448276,0.01275510,0.36989796,0.00229885
5-8,1,0.03448276,0.01275510,0.36989796,0.00229885
5-24,1,0.03448276,0.01275510,0.36989796,0.00229885
13-23,1,0.03448276,0.01275510,0.36989796,0.00229885
11-43,1,0.03448276,0.01275510,0.36989796,0.00229885
31-48,2,0.06896552,0.01275510,0.36989796,0.00459770
8-31,1,0.03448276,0.01275510,0.36989796,0.00229885
23-24,1,0.03448276,0.01275510,0.36989796,0.00229885
2-10,1,0.03448276,0.01275510,0.36989796,0.00229885
10-19,1,0.03448276,0.01275510,0.36989796,0.00229885
2-25,1,0.03448276,0.01275510,0.36989796,0.00229885
10-25,1,0.03448276,0.01275510,0.36989796,0.00229885
19-25,1,0.03448276,0.01275510,0.36989796,0.00229885
34-40,1,0.03448276,0.01275510,0.36989796,0.00229885
2-30,1,0.03448276,0.01275510,0.36989796,0.00229885
10-30,2,0.06896552,0.01275510,0.36989796,0.00459770
3-47,1,0.03448276,0.01275510,0.36989796,0.00229885
19-30,1,0.03448276,0.01275510,0.36989796,0.00229885
25-30,1,0.03448276,0.01275510,0.36989796,0.00229885
2-36,2,0.06896552,0.01275510,0.36989796,0.00459770
10-36,1,0.03448276,0.01275510,0.36989796,0.00229885
13-43,1,0.03448276,0.01275510,0.36989796,0.00229885
19-36,1,0.03448276,0.01275510,0.36989796,0.00229885
25-36,1,0.03448276,0.01275510,0.36989796,0.00229885
3-43,1,0.03448276,0.01275510,0.36989796,0.00229885
44-48,1,0.03448276,0.01275510,0.36989796,0.00229885
30-36,1,0.03448276,0.01275510,0.36989796,0.00229885
3-39,1,0.03448276,0.01275510,0.36989796,0.00229885
3-7,2,0.06896552,0.01275510,0.36989796,0.00459770
3-24,1,0.03448276,0.01275510,0.36989796,0.00229885
3-8,2,0.06896552,0.01275510,0.36989796,0.00459770
3-9,2,0.06896552,0.01275510,0.36989796,0.00459770
3-42,1,0.03448276,0.01275510,0.36989796,0.00229885
7-42,2,0.06896552,0.01275510,0.36989796,0.00459770
9-42,1,0.03448276,0.01275510,0.36989796,0.00229885
9-10,1,0.03448276,0.01275510,0.36989796,0.00229885
1-21,1,0.03448276,0.01275510,0.36989796,0.00229885
4-26,1,0.03448276,0.01275510,0.36989796,0.00229885
1-25,2,0.06896552,0.01275510,0.36989796,0.00459770
21-25,3,0.10344828,0.01275510,0.36989796,0.00689655
1-27,1,0.03448276,0.01275510,0.36989796,0.00229885
3-36,1,0.03448276,0.01275510,0.36989796,0.00229885
43-45,1,0.03448276,0.01275510,0.36989796,0.00229885
21-27,1,0.03448276,0.01275510,0.36989796,0.00229885
25-32,2,0.06896552,0.01275510,0.36989796,0.00459770
27-32,1,0.03448276,0.01275510,0.36989796,0.00229885
1-47,1,0.03448276,0.01275510,0.36989796,0.00229885
6-43,1,0.03448276,0.01275510,0.36989796,0.00229885
27-47,1,0.03448276,0.01275510,0.36989796,0.00229885
39-47,1,0.03448276,0.01275510,0.36989796,0.00229885
38-46,1,0.03448276,0.01275510,0.36989796,0.00229885
12-44,1,0.03448276,0.01275510,0.36989796,0.00229885
13-29,1,0.03448276,0.01275510,0.36989796,0.00229885
23-47,1,0.03448276,0.01275510,0.36989796,0.00229885
14-22,1,0.03448276,0.01275510,0.36989796,0.00229885
6-14,2,0.06896552,0.01275510,0.36989796,0.00459770
32-46,1,0.03448276,0.01275510,0.36989796,0.00229885
14-40,1,0.03448276,0.01275510,0.36989796,0.00229885
8-14,2,0.06896552,0.01275510,0.36989796,0.00459770
6-24,1,0.03448276,0.01275510,0.36989796,0.00229885
6-40,1,0.03448276,0.01275510,0.36989796,0.00229885
8-22,1,0.03448276,0.01275510,0.36989796,0.00229885
2-31,1,0.03448276,0.01275510,0.36989796,0.00229885
6-34,1,0.03448276,0.01275510,0.36989796,0.00229885
22-34,1,0.03448276,0.01275510,0.36989796,0.00229885
2-6,1,0.03448276,0.01275510,0.36989796,0.00229885
1-49,1,0.03448276,0.01275510,0.36989796,0.00229885
6-12,2,0.06896552,0.01275510,0.36989796,0.00459770
2-24,1,0.03448276,0.01275510,0.36989796,0.00229885
24-36,1,0.03448276,0.01275510,0.36989796,0.00229885
4-7,1,0.03448276,0.01275510,0.36989796,0.00229885
31-36,2,0.06896552,0.01275510,0.36989796,0.00459770
5-11,1,0.03448276,0.01275510,0.36989796,0.00229885
5-31,1,0.03448276,0.01275510,0.36989796,0.00229885
