groupOfNumbers = 4
totalNumberOfDraws = 29
totalNumberOfNumbers = 174

numbers,count,probHistory,probTheory,expected,share

7-8-9-24,1,0.03448276,0.00007080,0.00205309,0.00229885
8-9-15-48,1,0.03448276,0.00007080,0.00205309,0.00229885
9-13-15-48,1,0.03448276,0.00007080,0.00205309,0.00229885
1-26-29-30,1,0.03448276,0.00007080,0.00205309,0.00229885
9-12-21-44,1,0.03448276,0.00007080,0.00205309,0.00229885
8-9-13-15,1,0.03448276,0.00007080,0.00205309,0.00229885
9-10-26-47,1,0.03448276,0.00007080,0.00205309,0.00229885
8-9-13-48,1,0.03448276,0.00007080,0.00205309,0.00229885
9-13-38-48,1,0.03448276,0.00007080,0.00205309,0.00229885
8-9-13-38,1,0.03448276,0.00007080,0.00205309,0.00229885
9-13-15-38,1,0.03448276,0.00007080,0.00205309,0.00229885
9-22-23-39,1,0.03448276,0.00007080,0.00205309,0.00229885
21-25-44-48,1,0.03448276,0.00007080,0.00205309,0.00229885
16-33-39-42,1,0.03448276,0.00007080,0.00205309,0.00229885
8-9-15-38,1,0.03448276,0.00007080,0.00205309,0.00229885
9-15-38-48,1,0.03448276,0.00007080,0.00205309,0.00229885
1-26-32-38,1,0.03448276,0.00007080,0.00205309,0.00229885
8-9-38-48,1,0.03448276,0.00007080,0.00205309,0.00229885
13-16-23-24,1,0.03448276,0.00007080,0.00205309,0.00229885
8-13-15-48,1,0.03448276,0.00007080,0.00205309,0.00229885
8-15-23-45,1,0.03448276,0.00007080,0.00205309,0.00229885
6-11-21-43,1,0.03448276,0.00007080,0.00205309,0.00229885
13-14-15-39,1,0.03448276,0.00007080,0.00205309,0.00229885
31-40-45-48,1,0.03448276,0.00007080,0.00205309,0.00229885
12-21-44-48,1,0.03448276,0.00007080,0.00205309,0.00229885
1-15-44-49,1,0.03448276,0.00007080,0.00205309,0.00229885
8-13-38-48,1,0.03448276,0.00007080,0.00205309,0.00229885
5-14-15-39,1,0.03448276,0.00007080,0.00205309,0.00229885
10-14-26-47,1,0.03448276,0.00007080,0.00205309,0.00229885
8-15-45-47,1,0.03448276,0.00007080,0.00205309,0.00229885
13-15-38-48,1,0.03448276,0.00007080,0.00205309,0.00229885
9-12-25-48,1,0.03448276,0.00007080,0.00205309,0.00229885
8-13-15-38,1,0.03448276,0.00007080,0.00205309,0.00229885
9-25-44-48,1,0.03448276,0.00007080,0.00205309,0.00229885
9-13-31-41,1,0.03448276,0.00007080,0.00205309,0.00229885
5-13-14-39,1,0.03448276,0.00007080,0.00205309,0.00229885
6-14-22-40,1,0.03448276,0.00007080,0.00205309,0.00229885
6-8-14-22,1,0.03448276,0.00007080,0.00205309,0.00229885
5-13-14-15,1,0.03448276,0.00007080,0.00205309,0.00229885
8-15-38-48,1,0.03448276,0.00007080,0.00205309,0.00229885
9-13-17-25,1,0.03448276,0.00007080,0.00205309,0.00229885
9-13-17-31,1,0.03448276,0.00007080,0.00205309,0.00229885
9-12-25-44,1,0.03448276,0.00007080,0.00205309,0.00229885
13-25-31-41,1,0.03448276,0.00007080,0.00205309,0.00229885
7-21-31-36,1,0.03448276,0.00007080,0.00205309,0.00229885
13-21-29-36,1,0.03448276,0.00007080,0.00205309,0.00229885
5-12-30-48,1,0.03448276,0.00007080,0.00205309,0.00229885
9-13-25-31,1,0.03448276,0.00007080,0.00205309,0.00229885
9-17-25-31,1,0.03448276,0.00007080,0.00205309,0.00229885
5-10-30-48,1,0.03448276,0.00007080,0.00205309,0.00229885
2-6-12-31,1,0.03448276,0.00007080,0.00205309,0.00229885
2-12-14-39,1,0.03448276,0.00007080,0.00205309,0.00229885
5-8-42-48,1,0.03448276,0.00007080,0.00205309,0.00229885
13-17-25-31,1,0.03448276,0.00007080,0.00205309,0.00229885
9-13-17-41,1,0.03448276,0.00007080,0.00205309,0.00229885
11-13-25-43,1,0.03448276,0.00007080,0.00205309,0.00229885
33-39-42-44,1,0.03448276,0.00007080,0.00205309,0.00229885
9-13-25-41,1,0.03448276,0.00007080,0.00205309,0.00229885
11-39-42-44,1,0.03448276,0.00007080,0.00205309,0.00229885
9-17-25-41,1,0.03448276,0.00007080,0.00205309,0.00229885
9-26-31-45,1,0.03448276,0.00007080,0.00205309,0.00229885
8-9-24-42,1,0.03448276,0.00007080,0.00205309,0.00229885
13-17-25-41,1,0.03448276,0.00007080,0.00205309,0.00229885
12-14-21-49,1,0.03448276,0.00007080,0.00205309,0.00229885
9-17-31-41,1,0.03448276,0.00007080,0.00205309,0.00229885
2-5-13-14,1,0.03448276,0.00007080,0.00205309,0.00229885
5-10-12-48,1,0.03448276,0.00007080,0.00205309,0.00229885
6-8-34-40,1,0.03448276,0.00007080,0.00205309,0.00229885
13-17-31-41,1,0.03448276,0.00007080,0.00205309,0.00229885
9-36-39-47,1,0.03448276,0.00007080,0.00205309,0.00229885
25-32-38-46,1,0.03448276,0.00007080,0.00205309,0.00229885
9-25-31-41,1,0.03448276,0.00007080,0.00205309,0.00229885
10-25-30-36,1,0.03448276,0.00007080,0.00205309,0.00229885
9-22-26-39,1,0.03448276,0.00007080,0.00205309,0.00229885
9-22-23-26,1,0.03448276,0.00007080,0.00205309,0.00229885
17-25-31-41,1,0.03448276,0.00007080,0.00205309,0.00229885
7-8-24-42,1,0.03448276,0.00007080,0.00205309,0.00229885
2-12-14-21,1,0.03448276,0.00007080,0.00205309,0.00229885
6-26-29-30,1,0.03448276,0.00007080,0.00205309,0.00229885
2-12-21-39,1,0.03448276,0.00007080,0.00205309,0.00229885
1-21-25-32,1,0.03448276,0.00007080,0.00205309,0.00229885
2-5-15-39,1,0.03448276,0.00007080,0.00205309,0.00229885
1-5-15-25,1,0.03448276,0.00007080,0.00205309,0.00229885
16-39-42-44,1,0.03448276,0.00007080,0.00205309,0.00229885
2-13-14-39,1,0.03448276,0.00007080,0.00205309,0.00229885
2-13-14-15,1,0.03448276,0.00007080,0.00205309,0.00229885
2-12-31-36,1,0.03448276,0.00007080,0.00205309,0.00229885
2-14-21-39,1,0.03448276,0.00007080,0.00205309,0.00229885
12-14-21-39,1,0.03448276,0.00007080,0.00205309,0.00229885
25-27-32-47,1,0.03448276,0.00007080,0.00205309,0.00229885
2-12-14-49,1,0.03448276,0.00007080,0.00205309,0.00229885
6-21-25-43,1,0.03448276,0.00007080,0.00205309,0.00229885
6-11-13-25,1,0.03448276,0.00007080,0.00205309,0.00229885
21-25-27-47,1,0.03448276,0.00007080,0.00205309,0.00229885
3-7-9-24,1,0.03448276,0.00007080,0.00205309,0.00229885
2-12-21-49,1,0.03448276,0.00007080,0.00205309,0.00229885
2-14-21-49,1,0.03448276,0.00007080,0.00205309,0.00229885
9-36-39-43,1,0.03448276,0.00007080,0.00205309,0.00229885
13-21-25-43,1,0.03448276,0.00007080,0.00205309,0.00229885
2-12-39-49,1,0.03448276,0.00007080,0.00205309,0.00229885
2-14-39-49,1,0.03448276,0.00007080,0.00205309,0.00229885
20-45-48-49,1,0.03448276,0.00007080,0.00205309,0.00229885
9-23-26-39,1,0.03448276,0.00007080,0.00205309,0.00229885
12-14-39-49,1,0.03448276,0.00007080,0.00205309,0.00229885
2-21-39-49,1,0.03448276,0.00007080,0.00205309,0.00229885
12-21-39-49,1,0.03448276,0.00007080,0.00205309,0.00229885
14-21-39-49,1,0.03448276,0.00007080,0.00205309,0.00229885
4-7-14-26,1,0.03448276,0.00007080,0.00205309,0.00229885
2-14-15-39,1,0.03448276,0.00007080,0.00205309,0.00229885
2-5-13-39,1,0.03448276,0.00007080,0.00205309,0.00229885
5-10-12-30,1,0.03448276,0.00007080,0.00205309,0.00229885
2-5-13-15,1,0.03448276,0.00007080,0.00205309,0.00229885
2-13-15-39,1,0.03448276,0.00007080,0.00205309,0.00229885
2-5-14-39,1,0.03448276,0.00007080,0.00205309,0.00229885
