groupOfNumbers = 5
totalNumberOfDraws = 29
totalNumberOfNumbers = 174

numbers,count,probHistory,probTheory,expected,share

9-13-15-38-48,1,0.03448276,0.00000315,0.00009125,0.00574713
8-9-13-15-38,1,0.03448276,0.00000315,0.00009125,0.00574713
8-9-13-38-48,1,0.03448276,0.00000315,0.00009125,0.00574713
8-9-15-38-48,1,0.03448276,0.00000315,0.00009125,0.00574713
9-12-21-44-48,1,0.03448276,0.00000315,0.00009125,0.00574713
8-9-13-15-48,1,0.03448276,0.00000315,0.00009125,0.00574713
1-26-32-38-41,1,0.03448276,0.00000315,0.00009125,0.00574713
8-13-15-38-48,1,0.03448276,0.00000315,0.00009125,0.00574713
1-3-6-13-14,1,0.03448276,0.00000315,0.00009125,0.00574713
3-8-9-24-42,1,0.03448276,0.00000315,0.00009125,0.00574713
14-19-20-48-49,1,0.03448276,0.00000315,0.00009125,0.00574713
3-7-9-24-42,1,0.03448276,0.00000315,0.00009125,0.00574713
9-13-17-25-31,1,0.03448276,0.00000315,0.00009125,0.00574713
19-26-32-38-41,1,0.03448276,0.00000315,0.00009125,0.00574713
3-7-8-9-42,1,0.03448276,0.00000315,0.00009125,0.00574713
9-13-17-25-41,1,0.03448276,0.00000315,0.00009125,0.00574713
1-3-6-12-13,1,0.03448276,0.00000315,0.00009125,0.00574713
9-13-17-31-41,1,0.03448276,0.00000315,0.00009125,0.00574713
2-10-25-30-36,1,0.03448276,0.00000315,0.00009125,0.00574713
16-33-39-42-44,1,0.03448276,0.00000315,0.00009125,0.00574713
9-13-25-31-41,1,0.03448276,0.00000315,0.00009125,0.00574713
3-7-8-24-42,1,0.03448276,0.00000315,0.00009125,0.00574713
11-16-39-42-44,1,0.03448276,0.00000315,0.00009125,0.00574713
9-17-25-31-41,1,0.03448276,0.00000315,0.00009125,0.00574713
7-8-9-24-42,1,0.03448276,0.00000315,0.00009125,0.00574713
12-14-21-39-49,1,0.03448276,0.00000315,0.00009125,0.00574713
9-26-40-45-48,1,0.03448276,0.00000315,0.00009125,0.00574713
13-17-25-31-41,1,0.03448276,0.00000315,0.00009125,0.00574713
2-12-14-21-39,1,0.03448276,0.00000315,0.00009125,0.00574713
2-12-14-21-49,1,0.03448276,0.00000315,0.00009125,0.00574713
11-33-39-42-44,1,0.03448276,0.00000315,0.00009125,0.00574713
1-5-25-44-49,1,0.03448276,0.00000315,0.00009125,0.00574713
11-16-33-42-44,1,0.03448276,0.00000315,0.00009125,0.00574713
2-12-14-39-49,1,0.03448276,0.00000315,0.00009125,0.00574713
2-10-19-25-30,1,0.03448276,0.00000315,0.00009125,0.00574713
3-7-8-9-24,1,0.03448276,0.00000315,0.00009125,0.00574713
1-19-26-32-38,1,0.03448276,0.00000315,0.00009125,0.00574713
2-12-21-39-49,1,0.03448276,0.00000315,0.00009125,0.00574713
2-14-21-39-49,1,0.03448276,0.00000315,0.00009125,0.00574713
2-5-13-14-39,1,0.03448276,0.00000315,0.00009125,0.00574713
2-5-13-14-15,1,0.03448276,0.00000315,0.00009125,0.00574713
2-5-13-15-39,1,0.03448276,0.00000315,0.00009125,0.00574713
2-5-14-15-39,1,0.03448276,0.00000315,0.00009125,0.00574713
1-21-25-32-47,1,0.03448276,0.00000315,0.00009125,0.00574713
2-13-14-15-39,1,0.03448276,0.00000315,0.00009125,0.00574713
10-21-22-42-45,1,0.03448276,0.00000315,0.00009125,0.00574713
5-13-14-15-39,1,0.03448276,0.00000315,0.00009125,0.00574713
9-22-23-26-39,1,0.03448276,0.00000315,0.00009125,0.00574713
5-12-13-23-24,1,0.03448276,0.00000315,0.00009125,0.00574713
5-12-13-16-24,1,0.03448276,0.00000315,0.00009125,0.00574713
9-22-23-26-49,1,0.03448276,0.00000315,0.00009125,0.00574713
5-12-13-16-23,1,0.03448276,0.00000315,0.00009125,0.00574713
5-12-30-37-48,1,0.03448276,0.00000315,0.00009125,0.00574713
9-22-26-39-49,1,0.03448276,0.00000315,0.00009125,0.00574713
9-22-23-39-49,1,0.03448276,0.00000315,0.00009125,0.00574713
9-23-26-39-49,1,0.03448276,0.00000315,0.00009125,0.00574713
9-36-39-43-47,1,0.03448276,0.00000315,0.00009125,0.00574713
22-23-26-39-49,1,0.03448276,0.00000315,0.00009125,0.00574713
2-10-19-30-36,1,0.03448276,0.00000315,0.00009125,0.00574713
1-19-26-32-41,1,0.03448276,0.00000315,0.00009125,0.00574713
1-19-26-38-41,1,0.03448276,0.00000315,0.00009125,0.00574713
1-21-25-27-47,1,0.03448276,0.00000315,0.00009125,0.00574713
1-21-25-27-32,1,0.03448276,0.00000315,0.00009125,0.00574713
1-19-32-38-41,1,0.03448276,0.00000315,0.00009125,0.00574713
11-16-33-39-42,1,0.03448276,0.00000315,0.00009125,0.00574713
11-16-33-39-44,1,0.03448276,0.00000315,0.00009125,0.00574713
12-13-16-23-24,1,0.03448276,0.00000315,0.00009125,0.00574713
5-12-16-23-24,1,0.03448276,0.00000315,0.00009125,0.00574713
5-13-16-23-24,1,0.03448276,0.00000315,0.00009125,0.00574713
2-10-19-25-36,1,0.03448276,0.00000315,0.00009125,0.00574713
1-21-27-32-47,1,0.03448276,0.00000315,0.00009125,0.00574713
2-19-25-30-36,1,0.03448276,0.00000315,0.00009125,0.00574713
10-19-25-30-36,1,0.03448276,0.00000315,0.00009125,0.00574713
1-25-27-32-47,1,0.03448276,0.00000315,0.00009125,0.00574713
21-25-27-32-47,1,0.03448276,0.00000315,0.00009125,0.00574713
6-14-22-34-40,1,0.03448276,0.00000315,0.00009125,0.00574713
6-8-14-22-34,1,0.03448276,0.00000315,0.00009125,0.00574713
6-8-14-22-40,1,0.03448276,0.00000315,0.00009125,0.00574713
4-7-8-14-26,1,0.03448276,0.00000315,0.00009125,0.00574713
8-14-22-34-40,1,0.03448276,0.00000315,0.00009125,0.00574713
6-8-14-34-40,1,0.03448276,0.00000315,0.00009125,0.00574713
6-8-22-34-40,1,0.03448276,0.00000315,0.00009125,0.00574713
2-6-12-24-31,1,0.03448276,0.00000315,0.00009125,0.00574713
2-6-12-24-36,1,0.03448276,0.00000315,0.00009125,0.00574713
2-6-12-31-36,1,0.03448276,0.00000315,0.00009125,0.00574713
2-6-24-31-36,1,0.03448276,0.00000315,0.00009125,0.00574713
2-12-24-31-36,1,0.03448276,0.00000315,0.00009125,0.00574713
9-12-21-25-48,1,0.03448276,0.00000315,0.00009125,0.00574713
6-12-24-31-36,1,0.03448276,0.00000315,0.00009125,0.00574713
5-11-31-42-48,1,0.03448276,0.00000315,0.00009125,0.00574713
5-8-11-31-42,1,0.03448276,0.00000315,0.00009125,0.00574713
3-4-7-8-14,1,0.03448276,0.00000315,0.00009125,0.00574713
5-8-11-31-48,1,0.03448276,0.00000315,0.00009125,0.00574713
5-8-11-42-48,1,0.03448276,0.00000315,0.00009125,0.00574713
5-8-31-42-48,1,0.03448276,0.00000315,0.00009125,0.00574713
8-11-31-42-48,1,0.03448276,0.00000315,0.00009125,0.00574713
6-11-13-21-25,1,0.03448276,0.00000315,0.00009125,0.00574713
6-11-13-21-43,1,0.03448276,0.00000315,0.00009125,0.00574713
6-11-13-25-43,1,0.03448276,0.00000315,0.00009125,0.00574713
6-11-21-25-43,1,0.03448276,0.00000315,0.00009125,0.00574713
6-13-21-25-43,1,0.03448276,0.00000315,0.00009125,0.00574713
11-13-21-25-43,1,0.03448276,0.00000315,0.00009125,0.00574713
1-5-15-25-44,1,0.03448276,0.00000315,0.00009125,0.00574713
1-5-15-25-49,1,0.03448276,0.00000315,0.00009125,0.00574713
1-5-15-44-49,1,0.03448276,0.00000315,0.00009125,0.00574713
1-15-25-44-49,1,0.03448276,0.00000315,0.00009125,0.00574713
5-15-25-44-49,1,0.03448276,0.00000315,0.00009125,0.00574713
5-10-12-30-37,1,0.03448276,0.00000315,0.00009125,0.00574713
5-10-12-30-48,1,0.03448276,0.00000315,0.00009125,0.00574713
5-10-12-37-48,1,0.03448276,0.00000315,0.00009125,0.00574713
26-31-40-45-48,1,0.03448276,0.00000315,0.00009125,0.00574713
5-10-30-37-48,1,0.03448276,0.00000315,0.00009125,0.00574713
10-12-30-37-48,1,0.03448276,0.00000315,0.00009125,0.00574713
1-3-6-12-14,1,0.03448276,0.00000315,0.00009125,0.00574713
14-19-45-48-49,1,0.03448276,0.00000315,0.00009125,0.00574713
1-3-12-13-14,1,0.03448276,0.00000315,0.00009125,0.00574713
1-6-12-13-14,1,0.03448276,0.00000315,0.00009125,0.00574713
3-6-12-13-14,1,0.03448276,0.00000315,0.00009125,0.00574713
8-15-23-43-45,1,0.03448276,0.00000315,0.00009125,0.00574713
8-15-23-43-47,1,0.03448276,0.00000315,0.00009125,0.00574713
8-15-23-45-47,1,0.03448276,0.00000315,0.00009125,0.00574713
8-15-43-45-47,1,0.03448276,0.00000315,0.00009125,0.00574713
8-23-43-45-47,1,0.03448276,0.00000315,0.00009125,0.00574713
15-23-43-45-47,1,0.03448276,0.00000315,0.00009125,0.00574713
7-13-21-29-31,1,0.03448276,0.00000315,0.00009125,0.00574713
7-13-21-29-36,1,0.03448276,0.00000315,0.00009125,0.00574713
7-13-21-31-36,1,0.03448276,0.00000315,0.00009125,0.00574713
7-13-29-31-36,1,0.03448276,0.00000315,0.00009125,0.00574713
7-21-29-31-36,1,0.03448276,0.00000315,0.00009125,0.00574713
13-21-29-31-36,1,0.03448276,0.00000315,0.00009125,0.00574713
3-4-7-8-26,1,0.03448276,0.00000315,0.00009125,0.00574713
3-4-7-14-26,1,0.03448276,0.00000315,0.00009125,0.00574713
3-4-8-14-26,1,0.03448276,0.00000315,0.00009125,0.00574713
3-7-8-14-26,1,0.03448276,0.00000315,0.00009125,0.00574713
9-12-21-25-44,1,0.03448276,0.00000315,0.00009125,0.00574713
9-12-25-44-48,1,0.03448276,0.00000315,0.00009125,0.00574713
9-21-25-44-48,1,0.03448276,0.00000315,0.00009125,0.00574713
12-21-25-44-48,1,0.03448276,0.00000315,0.00009125,0.00574713
9-10-14-26-28,1,0.03448276,0.00000315,0.00009125,0.00574713
1-6-26-29-30,1,0.03448276,0.00000315,0.00009125,0.00574713
9-10-14-26-47,1,0.03448276,0.00000315,0.00009125,0.00574713
9-10-14-28-47,1,0.03448276,0.00000315,0.00009125,0.00574713
9-10-26-28-47,1,0.03448276,0.00000315,0.00009125,0.00574713
9-14-26-28-47,1,0.03448276,0.00000315,0.00009125,0.00574713
10-14-26-28-47,1,0.03448276,0.00000315,0.00009125,0.00574713
7-10-21-22-42,1,0.03448276,0.00000315,0.00009125,0.00574713
6-15-26-29-30,1,0.03448276,0.00000315,0.00009125,0.00574713
7-10-21-22-45,1,0.03448276,0.00000315,0.00009125,0.00574713
7-10-21-42-45,1,0.03448276,0.00000315,0.00009125,0.00574713
3-36-39-43-47,1,0.03448276,0.00000315,0.00009125,0.00574713
7-10-22-42-45,1,0.03448276,0.00000315,0.00009125,0.00574713
7-21-22-42-45,1,0.03448276,0.00000315,0.00009125,0.00574713
25-26-32-38-39,1,0.03448276,0.00000315,0.00009125,0.00574713
25-26-32-38-46,1,0.03448276,0.00000315,0.00009125,0.00574713
25-26-32-39-46,1,0.03448276,0.00000315,0.00009125,0.00574713
25-26-38-39-46,1,0.03448276,0.00000315,0.00009125,0.00574713
25-32-38-39-46,1,0.03448276,0.00000315,0.00009125,0.00574713
26-32-38-39-46,1,0.03448276,0.00000315,0.00009125,0.00574713
1-15-26-29-30,1,0.03448276,0.00000315,0.00009125,0.00574713
1-6-15-26-29,1,0.03448276,0.00000315,0.00009125,0.00574713
1-6-15-26-30,1,0.03448276,0.00000315,0.00009125,0.00574713
1-6-15-29-30,1,0.03448276,0.00000315,0.00009125,0.00574713
9-26-31-40-45,1,0.03448276,0.00000315,0.00009125,0.00574713
9-26-31-40-48,1,0.03448276,0.00000315,0.00009125,0.00574713
9-26-31-45-48,1,0.03448276,0.00000315,0.00009125,0.00574713
9-31-40-45-48,1,0.03448276,0.00000315,0.00009125,0.00574713
14-19-20-45-48,1,0.03448276,0.00000315,0.00009125,0.00574713
14-19-20-45-49,1,0.03448276,0.00000315,0.00009125,0.00574713
14-20-45-48-49,1,0.03448276,0.00000315,0.00009125,0.00574713
19-20-45-48-49,1,0.03448276,0.00000315,0.00009125,0.00574713
3-9-36-39-43,1,0.03448276,0.00000315,0.00009125,0.00574713
3-9-36-39-47,1,0.03448276,0.00000315,0.00009125,0.00574713
3-9-36-43-47,1,0.03448276,0.00000315,0.00009125,0.00574713
3-9-39-43-47,1,0.03448276,0.00000315,0.00009125,0.00574713
