groupOfNumbers = 2
totalNumberOfDraws = 1000
totalNumberOfNumbers = 6000

numbers,count,probHistory,probTheory,expected,share

9-22,11,0.01100000,0.01275510,12.75510204,0.00073333
9-38,21,0.02100000,0.01275510,12.75510204,0.00140000
21-41,11,0.01100000,0.01275510,12.75510204,0.00073333
9-39,13,0.01300000,0.01275510,12.75510204,0.00086667
7-9,15,0.01500000,0.01275510,12.75510204,0.00100000
9-23,10,0.01000000,0.01275510,12.75510204,0.00066667
5-41,8,0.00800000,0.01275510,12.75510204,0.00053333
9-48,15,0.01500000,0.01275510,12.75510204,0.00100000
9-16,9,0.00900000,0.01275510,12.75510204,0.00060000
9-32,9,0.00900000,0.01275510,12.75510204,0.00060000
13-41,10,0.01000000,0.01275510,12.75510204,0.00066667
9-40,9,0.00900000,0.01275510,12.75510204,0.00060000
8-9,9,0.00900000,0.01275510,12.75510204,0.00060000
9-24,11,0.01100000,0.01275510,12.75510204,0.00073333
9-47,12,0.01200000,0.01275510,12.75510204,0.00080000
9-31,14,0.01400000,0.01275510,12.75510204,0.00093333
9-15,11,0.01100000,0.01275510,12.75510204,0.00073333
9-13,10,0.01000000,0.01275510,12.75510204,0.00066667
15-46,12,0.01200000,0.01275510,12.75510204,0.00080000
31-38,11,0.01100000,0.01275510,12.75510204,0.00073333
14-31,11,0.01100000,0.01275510,12.75510204,0.00073333
46-47,11,0.01100000,0.01275510,12.75510204,0.00073333
22-23,14,0.01400000,0.01275510,12.75510204,0.00093333
12-36,16,0.01600000,0.01275510,12.75510204,0.00106667
14-15,12,0.01200000,0.01275510,12.75510204,0.00080000
22-39,9,0.00900000,0.01275510,12.75510204,0.00060000
21-37,17,0.01700000,0.01275510,12.75510204,0.00113333
14-47,17,0.01700000,0.01275510,12.75510204,0.00113333
38-47,9,0.00900000,0.01275510,12.75510204,0.00060000
5-37,16,0.01600000,0.01275510,12.75510204,0.00106667
6-31,8,0.00800000,0.01275510,12.75510204,0.00053333
30-40,8,0.00800000,0.01275510,12.75510204,0.00053333
20-28,14,0.01400000,0.01275510,12.75510204,0.00093333
2-34,12,0.01200000,0.01275510,12.75510204,0.00080000
23-46,10,0.01000000,0.01275510,12.75510204,0.00066667
15-38,16,0.01600000,0.01275510,12.75510204,0.00106667
14-39,12,0.01200000,0.01275510,12.75510204,0.00080000
29-45,10,0.01000000,0.01275510,12.75510204,0.00066667
24-30,15,0.01500000,0.01275510,12.75510204,0.00100000
6-15,22,0.02200000,0.01275510,12.75510204,0.00146667
14-23,15,0.01500000,0.01275510,12.75510204,0.00100000
6-47,9,0.00900000,0.01275510,12.75510204,0.00060000
27-43,10,0.01000000,0.01275510,12.75510204,0.00066667
39-46,15,0.01500000,0.01275510,12.75510204,0.00100000
7-22,10,0.01000000,0.01275510,12.75510204,0.00066667
30-48,18,0.01800000,0.01275510,12.75510204,0.00120000
30-47,22,0.02200000,0.01275510,12.75510204,0.00146667
4-44,12,0.01200000,0.01275510,12.75510204,0.00080000
8-38,12,0.01200000,0.01275510,12.75510204,0.00080000
6-48,14,0.01400000,0.01275510,12.75510204,0.00093333
22-32,14,0.01400000,0.01275510,12.75510204,0.00093333
6-8,14,0.01400000,0.01275510,12.75510204,0.00093333
32-38,12,0.01200000,0.01275510,12.75510204,0.00080000
30-31,13,0.01300000,0.01275510,12.75510204,0.00086667
22-24,9,0.00900000,0.01275510,12.75510204,0.00060000
3-19,14,0.01400000,0.01275510,12.75510204,0.00093333
22-40,12,0.01200000,0.01275510,12.75510204,0.00080000
38-48,17,0.01700000,0.01275510,12.75510204,0.00113333
16-38,25,0.02500000,0.01275510,12.75510204,0.00166667
8-21,15,0.01500000,0.01275510,12.75510204,0.00100000
45-46,11,0.01100000,0.01275510,12.75510204,0.00073333
16-21,16,0.01600000,0.01275510,12.75510204,0.00106667
14-45,14,0.01400000,0.01275510,12.75510204,0.00093333
21-48,9,0.00900000,0.01275510,12.75510204,0.00060000
13-39,11,0.01100000,0.01275510,12.75510204,0.00073333
12-28,15,0.01500000,0.01275510,12.75510204,0.00100000
7-29,21,0.02100000,0.01275510,12.75510204,0.00140000
21-32,15,0.01500000,0.01275510,12.75510204,0.00100000
29-48,12,0.01200000,0.01275510,12.75510204,0.00080000
37-46,10,0.01000000,0.01275510,12.75510204,0.00066667
16-29,8,0.00800000,0.01275510,12.75510204,0.00053333
29-32,8,0.00800000,0.01275510,12.75510204,0.00053333
5-7,15,0.01500000,0.01275510,12.75510204,0.00100000
14-37,15,0.01500000,0.01275510,12.75510204,0.00100000
8-29,7,0.00700000,0.01275510,12.75510204,0.00046667
5-39,21,0.02100000,0.01275510,12.75510204,0.00140000
30-45,7,0.00700000,0.01275510,12.75510204,0.00046667
37-38,15,0.01500000,0.01275510,12.75510204,0.00100000
13-16,14,0.01400000,0.01275510,12.75510204,0.00093333
15-21,18,0.01800000,0.01275510,12.75510204,0.00120000
21-47,12,0.01200000,0.01275510,12.75510204,0.00080000
5-15,13,0.01300000,0.01275510,12.75510204,0.00086667
21-31,12,0.01200000,0.01275510,12.75510204,0.00080000
8-13,12,0.01200000,0.01275510,12.75510204,0.00080000
6-37,15,0.01500000,0.01275510,12.75510204,0.00100000
13-40,15,0.01500000,0.01275510,12.75510204,0.00100000
4-20,14,0.01400000,0.01275510,12.75510204,0.00093333
13-48,10,0.01000000,0.01275510,12.75510204,0.00066667
21-39,23,0.02300000,0.01275510,12.75510204,0.00153333
2-18,19,0.01900000,0.01275510,12.75510204,0.00126667
22-37,11,0.01100000,0.01275510,12.75510204,0.00073333
13-32,8,0.00800000,0.01275510,12.75510204,0.00053333
7-21,22,0.02200000,0.01275510,12.75510204,0.00146667
5-23,13,0.01300000,0.01275510,12.75510204,0.00086667
9-41,10,0.01000000,0.01275510,12.75510204,0.00066667
13-24,13,0.01300000,0.01275510,12.75510204,0.00086667
15-29,9,0.00900000,0.01275510,12.75510204,0.00060000
13-31,9,0.00900000,0.01275510,12.75510204,0.00060000
21-40,14,0.01400000,0.01275510,12.75510204,0.00093333
21-24,14,0.01400000,0.01275510,12.75510204,0.00093333
10-26,20,0.02000000,0.01275510,12.75510204,0.00133333
23-29,12,0.01200000,0.01275510,12.75510204,0.00080000
20-44,13,0.01300000,0.01275510,12.75510204,0.00086667
22-45,13,0.01300000,0.01275510,12.75510204,0.00086667
13-15,11,0.01100000,0.01275510,12.75510204,0.00073333
5-32,14,0.01400000,0.01275510,12.75510204,0.00093333
5-48,15,0.01500000,0.01275510,12.75510204,0.00100000
5-16,14,0.01400000,0.01275510,12.75510204,0.00093333
23-39,13,0.01300000,0.01275510,12.75510204,0.00086667
14-46,12,0.01200000,0.01275510,12.75510204,0.00080000
8-16,13,0.01300000,0.01275510,12.75510204,0.00086667
24-48,15,0.01500000,0.01275510,12.75510204,0.00100000
6-38,15,0.01500000,0.01275510,12.75510204,0.00100000
8-32,11,0.01100000,0.01275510,12.75510204,0.00073333
40-48,15,0.01500000,0.01275510,12.75510204,0.00100000
16-32,11,0.01100000,0.01275510,12.75510204,0.00073333
24-40,9,0.00900000,0.01275510,12.75510204,0.00060000
15-47,11,0.01100000,0.01275510,12.75510204,0.00073333
31-47,11,0.01100000,0.01275510,12.75510204,0.00073333
22-46,9,0.00900000,0.01275510,12.75510204,0.00060000
7-31,8,0.00800000,0.01275510,12.75510204,0.00053333
15-23,10,0.01000000,0.01275510,12.75510204,0.00066667
15-39,15,0.01500000,0.01275510,12.75510204,0.00100000
14-38,14,0.01400000,0.01275510,12.75510204,0.00093333
30-38,19,0.01900000,0.01275510,12.75510204,0.00126667
8-47,14,0.01400000,0.01275510,12.75510204,0.00093333
7-48,13,0.01300000,0.01275510,12.75510204,0.00086667
15-24,11,0.01100000,0.01275510,12.75510204,0.00073333
3-35,7,0.00700000,0.01275510,12.75510204,0.00046667
21-29,18,0.01800000,0.01275510,12.75510204,0.00120000
8-15,12,0.01200000,0.01275510,12.75510204,0.00080000
15-40,10,0.01000000,0.01275510,12.75510204,0.00066667
7-32,19,0.01900000,0.01275510,12.75510204,0.00126667
5-13,11,0.01100000,0.01275510,12.75510204,0.00073333
16-47,10,0.01000000,0.01275510,12.75510204,0.00066667
14-30,19,0.01900000,0.01275510,12.75510204,0.00126667
15-16,11,0.01100000,0.01275510,12.75510204,0.00073333
32-47,9,0.00900000,0.01275510,12.75510204,0.00060000
7-16,9,0.00900000,0.01275510,12.75510204,0.00060000
47-48,11,0.01100000,0.01275510,12.75510204,0.00073333
15-32,10,0.01000000,0.01275510,12.75510204,0.00066667
13-21,17,0.01700000,0.01275510,12.75510204,0.00113333
15-48,11,0.01100000,0.01275510,12.75510204,0.00073333
7-8,13,0.01300000,0.01275510,12.75510204,0.00086667
7-40,12,0.01200000,0.01275510,12.75510204,0.00080000
24-47,14,0.01400000,0.01275510,12.75510204,0.00093333
40-47,7,0.00700000,0.01275510,12.75510204,0.00046667
7-24,16,0.01600000,0.01275510,12.75510204,0.00106667
22-38,15,0.01500000,0.01275510,12.75510204,0.00100000
6-22,12,0.01200000,0.01275510,12.75510204,0.00080000
8-48,14,0.01400000,0.01275510,12.75510204,0.00093333
7-47,17,0.01700000,0.01275510,12.75510204,0.00113333
16-40,12,0.01200000,0.01275510,12.75510204,0.00080000
16-24,18,0.01800000,0.01275510,12.75510204,0.00120000
7-15,13,0.01300000,0.01275510,12.75510204,0.00086667
32-40,9,0.00900000,0.01275510,12.75510204,0.00060000
23-31,9,0.00900000,0.01275510,12.75510204,0.00060000
8-40,18,0.01800000,0.01275510,12.75510204,0.00120000
32-48,12,0.01200000,0.01275510,12.75510204,0.00080000
16-48,10,0.01000000,0.01275510,12.75510204,0.00066667
31-39,11,0.01100000,0.01275510,12.75510204,0.00073333
8-24,12,0.01200000,0.01275510,12.75510204,0.00080000
24-32,10,0.01000000,0.01275510,12.75510204,0.00066667
31-37,7,0.00700000,0.01275510,12.75510204,0.00046667
6-29,11,0.01100000,0.01275510,12.75510204,0.00073333
5-30,14,0.01400000,0.01275510,12.75510204,0.00093333
13-14,18,0.01800000,0.01275510,12.75510204,0.00120000
21-38,13,0.01300000,0.01275510,12.75510204,0.00086667
20-36,10,0.01000000,0.01275510,12.75510204,0.00066667
37-47,15,0.01500000,0.01275510,12.75510204,0.00100000
32-37,15,0.01500000,0.01275510,12.75510204,0.00100000
29-30,12,0.01200000,0.01275510,12.75510204,0.00080000
5-14,16,0.01600000,0.01275510,12.75510204,0.00106667
8-37,13,0.01300000,0.01275510,12.75510204,0.00086667
6-21,12,0.01200000,0.01275510,12.75510204,0.00080000
31-45,11,0.01100000,0.01275510,12.75510204,0.00073333
7-45,12,0.01200000,0.01275510,12.75510204,0.00080000
12-20,15,0.01500000,0.01275510,12.75510204,0.00100000
5-22,12,0.01200000,0.01275510,12.75510204,0.00080000
14-21,14,0.01400000,0.01275510,12.75510204,0.00093333
21-22,15,0.01500000,0.01275510,12.75510204,0.00100000
23-45,9,0.00900000,0.01275510,12.75510204,0.00060000
37-48,15,0.01500000,0.01275510,12.75510204,0.00100000
13-38,18,0.01800000,0.01275510,12.75510204,0.00120000
29-46,14,0.01400000,0.01275510,12.75510204,0.00093333
2-19,19,0.01900000,0.01275510,12.75510204,0.00126667
9-17,20,0.02000000,0.01275510,12.75510204,0.00133333
23-49,21,0.02100000,0.01275510,12.75510204,0.00140000
12-33,10,0.01000000,0.01275510,12.75510204,0.00066667
39-49,20,0.02000000,0.01275510,12.75510204,0.00133333
15-49,21,0.02100000,0.01275510,12.75510204,0.00140000
33-44,13,0.01300000,0.01275510,12.75510204,0.00086667
47-49,19,0.01900000,0.01275510,12.75510204,0.00126667
13-17,19,0.01900000,0.01275510,12.75510204,0.00126667
6-44,12,0.01200000,0.01275510,12.75510204,0.00080000
4-16,14,0.01400000,0.01275510,12.75510204,0.00093333
12-46,9,0.00900000,0.01275510,12.75510204,0.00060000
4-48,13,0.01300000,0.01275510,12.75510204,0.00086667
4-32,9,0.00900000,0.01275510,12.75510204,0.00060000
38-44,16,0.01600000,0.01275510,12.75510204,0.00106667
13-20,14,0.01400000,0.01275510,12.75510204,0.00093333
12-14,14,0.01400000,0.01275510,12.75510204,0.00093333
36-39,23,0.02300000,0.01275510,12.75510204,0.00153333
12-22,16,0.01600000,0.01275510,12.75510204,0.00106667
5-20,17,0.01700000,0.01275510,12.75510204,0.00113333
25-41,20,0.02000000,0.01275510,12.75510204,0.00133333
9-25,12,0.01200000,0.01275510,12.75510204,0.00080000
22-44,12,0.01200000,0.01275510,12.75510204,0.00080000
20-45,12,0.01200000,0.01275510,12.75510204,0.00080000
4-40,14,0.01400000,0.01275510,12.75510204,0.00093333
4-8,6,0.00600000,0.01275510,12.75510204,0.00040000
4-24,15,0.01500000,0.01275510,12.75510204,0.00100000
13-25,13,0.01300000,0.01275510,12.75510204,0.00086667
17-25,18,0.01800000,0.01275510,12.75510204,0.00120000
42-48,14,0.01400000,0.01275510,12.75510204,0.00093333
24-42,12,0.01200000,0.01275510,12.75510204,0.00080000
6-10,16,0.01600000,0.01275510,12.75510204,0.00106667
40-42,10,0.01000000,0.01275510,12.75510204,0.00066667
4-34,12,0.01200000,0.01275510,12.75510204,0.00080000
1-44,18,0.01800000,0.01275510,12.75510204,0.00120000
28-33,11,0.01100000,0.01275510,12.75510204,0.00073333
17-31,17,0.01700000,0.01275510,12.75510204,0.00113333
25-31,10,0.01000000,0.01275510,12.75510204,0.00066667
4-41,16,0.01600000,0.01275510,12.75510204,0.00106667
25-47,11,0.01100000,0.01275510,12.75510204,0.00073333
18-32,8,0.00800000,0.01275510,12.75510204,0.00053333
2-13,18,0.01800000,0.01275510,12.75510204,0.00120000
2-21,10,0.01000000,0.01275510,12.75510204,0.00066667
17-41,20,0.02000000,0.01275510,12.75510204,0.00133333
31-41,12,0.01200000,0.01275510,12.75510204,0.00080000
22-26,16,0.01600000,0.01275510,12.75510204,0.00106667
2-12,18,0.01800000,0.01275510,12.75510204,0.00120000
6-26,9,0.00900000,0.01275510,12.75510204,0.00060000
2-46,15,0.01500000,0.01275510,12.75510204,0.00100000
8-34,3,0.00300000,0.01275510,12.75510204,0.00020000
34-48,6,0.00600000,0.01275510,12.75510204,0.00040000
16-34,9,0.00900000,0.01275510,12.75510204,0.00060000
2-14,11,0.01100000,0.01275510,12.75510204,0.00073333
32-34,13,0.01300000,0.01275510,12.75510204,0.00086667
14-20,14,0.01400000,0.01275510,12.75510204,0.00093333
28-32,13,0.01300000,0.01275510,12.75510204,0.00086667
37-44,10,0.01000000,0.01275510,12.75510204,0.00066667
2-42,13,0.01300000,0.01275510,12.75510204,0.00086667
12-21,19,0.01900000,0.01275510,12.75510204,0.00126667
28-48,16,0.01600000,0.01275510,12.75510204,0.00106667
16-28,8,0.00800000,0.01275510,12.75510204,0.00053333
18-37,9,0.00900000,0.01275510,12.75510204,0.00060000
2-15,14,0.01400000,0.01275510,12.75510204,0.00093333
2-39,22,0.02200000,0.01275510,12.75510204,0.00146667
2-7,12,0.01200000,0.01275510,12.75510204,0.00080000
14-34,10,0.01000000,0.01275510,12.75510204,0.00066667
31-44,11,0.01100000,0.01275510,12.75510204,0.00073333
12-39,19,0.01900000,0.01275510,12.75510204,0.00126667
22-36,12,0.01200000,0.01275510,12.75510204,0.00080000
13-28,12,0.01200000,0.01275510,12.75510204,0.00080000
4-30,17,0.01700000,0.01275510,12.75510204,0.00113333
7-12,13,0.01300000,0.01275510,12.75510204,0.00086667
3-25,10,0.01000000,0.01275510,12.75510204,0.00066667
2-49,18,0.01800000,0.01275510,12.75510204,0.00120000
12-49,15,0.01500000,0.01275510,12.75510204,0.00100000
14-49,20,0.02000000,0.01275510,12.75510204,0.00133333
17-46,14,0.01400000,0.01275510,12.75510204,0.00093333
21-49,20,0.02000000,0.01275510,12.75510204,0.00133333
26-28,14,0.01400000,0.01275510,12.75510204,0.00093333
2-5,25,0.02500000,0.01275510,12.75510204,0.00166667
1-8,9,0.00900000,0.01275510,12.75510204,0.00060000
1-40,12,0.01200000,0.01275510,12.75510204,0.00080000
33-37,10,0.01000000,0.01275510,12.75510204,0.00066667
1-48,14,0.01400000,0.01275510,12.75510204,0.00093333
9-26,8,0.00800000,0.01275510,12.75510204,0.00053333
10-45,17,0.01700000,0.01275510,12.75510204,0.00113333
23-26,13,0.01300000,0.01275510,12.75510204,0.00086667
13-42,7,0.00700000,0.01275510,12.75510204,0.00046667
18-36,12,0.01200000,0.01275510,12.75510204,0.00080000
26-39,9,0.00900000,0.01275510,12.75510204,0.00060000
7-26,8,0.00800000,0.01275510,12.75510204,0.00053333
9-49,14,0.01400000,0.01275510,12.75510204,0.00093333
22-49,13,0.01300000,0.01275510,12.75510204,0.00086667
25-27,16,0.01600000,0.01275510,12.75510204,0.00106667
10-17,16,0.01600000,0.01275510,12.75510204,0.00106667
26-49,14,0.01400000,0.01275510,12.75510204,0.00093333
1-19,19,0.01900000,0.01275510,12.75510204,0.00126667
1-26,18,0.01800000,0.01275510,12.75510204,0.00120000
4-25,16,0.01600000,0.01275510,12.75510204,0.00106667
19-26,10,0.01000000,0.01275510,12.75510204,0.00066667
1-32,10,0.01000000,0.01275510,12.75510204,0.00066667
6-35,8,0.00800000,0.01275510,12.75510204,0.00053333
19-48,13,0.01300000,0.01275510,12.75510204,0.00086667
16-19,17,0.01700000,0.01275510,12.75510204,0.00113333
4-11,14,0.01400000,0.01275510,12.75510204,0.00093333
19-32,10,0.01000000,0.01275510,12.75510204,0.00066667
26-32,18,0.01800000,0.01275510,12.75510204,0.00120000
16-26,15,0.01500000,0.01275510,12.75510204,0.00100000
26-48,9,0.00900000,0.01275510,12.75510204,0.00060000
8-26,12,0.01200000,0.01275510,12.75510204,0.00080000
13-33,12,0.01200000,0.01275510,12.75510204,0.00080000
1-6,12,0.01200000,0.01275510,12.75510204,0.00080000
1-38,16,0.01600000,0.01275510,12.75510204,0.00106667
3-23,11,0.01100000,0.01275510,12.75510204,0.00073333
19-38,14,0.01400000,0.01275510,12.75510204,0.00093333
24-35,11,0.01100000,0.01275510,12.75510204,0.00073333
35-40,8,0.00800000,0.01275510,12.75510204,0.00053333
11-44,12,0.01200000,0.01275510,12.75510204,0.00080000
18-28,11,0.01100000,0.01275510,12.75510204,0.00073333
42-45,13,0.01300000,0.01275510,12.75510204,0.00086667
26-38,13,0.01300000,0.01275510,12.75510204,0.00086667
38-42,12,0.01200000,0.01275510,12.75510204,0.00080000
26-45,11,0.01100000,0.01275510,12.75510204,0.00073333
10-23,16,0.01600000,0.01275510,12.75510204,0.00106667
1-41,12,0.01200000,0.01275510,12.75510204,0.00080000
10-39,13,0.01300000,0.01275510,12.75510204,0.00086667
6-42,10,0.01000000,0.01275510,12.75510204,0.00066667
7-10,18,0.01800000,0.01275510,12.75510204,0.00120000
19-41,14,0.01400000,0.01275510,12.75510204,0.00093333
26-41,10,0.01000000,0.01275510,12.75510204,0.00066667
16-41,11,0.01100000,0.01275510,12.75510204,0.00073333
20-25,15,0.01500000,0.01275510,12.75510204,0.00100000
32-41,13,0.01300000,0.01275510,12.75510204,0.00086667
38-41,14,0.01400000,0.01275510,12.75510204,0.00093333
5-9,16,0.01600000,0.01275510,12.75510204,0.00106667
1-42,18,0.01800000,0.01275510,12.75510204,0.00120000
6-41,15,0.01500000,0.01275510,12.75510204,0.00100000
11-24,13,0.01300000,0.01275510,12.75510204,0.00086667
39-43,12,0.01200000,0.01275510,12.75510204,0.00080000
27-46,11,0.01100000,0.01275510,12.75510204,0.00073333
11-40,7,0.00700000,0.01275510,12.75510204,0.00046667
8-11,10,0.01000000,0.01275510,12.75510204,0.00066667
35-44,9,0.00900000,0.01275510,12.75510204,0.00060000
23-43,9,0.00900000,0.01275510,12.75510204,0.00060000
11-16,21,0.02100000,0.01275510,12.75510204,0.00140000
11-33,11,0.01100000,0.01275510,12.75510204,0.00073333
8-33,7,0.00700000,0.01275510,12.75510204,0.00046667
1-5,16,0.01600000,0.01275510,12.75510204,0.00106667
28-49,19,0.01900000,0.01275510,12.75510204,0.00126667
32-33,16,0.01600000,0.01275510,12.75510204,0.00106667
33-48,10,0.01000000,0.01275510,12.75510204,0.00066667
16-33,10,0.01000000,0.01275510,12.75510204,0.00066667
11-39,14,0.01400000,0.01275510,12.75510204,0.00093333
27-38,15,0.01500000,0.01275510,12.75510204,0.00100000
6-27,12,0.01200000,0.01275510,12.75510204,0.00080000
3-12,13,0.01300000,0.01275510,12.75510204,0.00086667
23-48,11,0.01100000,0.01275510,12.75510204,0.00073333
24-31,13,0.01300000,0.01275510,12.75510204,0.00086667
16-23,11,0.01100000,0.01275510,12.75510204,0.00073333
37-45,8,0.00800000,0.01275510,12.75510204,0.00053333
8-39,13,0.01300000,0.01275510,12.75510204,0.00086667
5-29,15,0.01500000,0.01275510,12.75510204,0.00100000
23-32,14,0.01400000,0.01275510,12.75510204,0.00093333
31-40,9,0.00900000,0.01275510,12.75510204,0.00060000
6-30,11,0.01100000,0.01275510,12.75510204,0.00073333
16-39,14,0.01400000,0.01275510,12.75510204,0.00093333
30-46,24,0.02400000,0.01275510,12.75510204,0.00160000
39-48,12,0.01200000,0.01275510,12.75510204,0.00080000
32-39,16,0.01600000,0.01275510,12.75510204,0.00106667
8-23,17,0.01700000,0.01275510,12.75510204,0.00113333
33-39,12,0.01200000,0.01275510,12.75510204,0.00080000
11-42,8,0.00800000,0.01275510,12.75510204,0.00053333
8-42,11,0.01100000,0.01275510,12.75510204,0.00073333
32-42,10,0.01000000,0.01275510,12.75510204,0.00066667
2-28,11,0.01100000,0.01275510,12.75510204,0.00073333
16-42,12,0.01200000,0.01275510,12.75510204,0.00080000
12-25,18,0.01800000,0.01275510,12.75510204,0.00120000
33-42,15,0.01500000,0.01275510,12.75510204,0.00100000
23-42,13,0.01300000,0.01275510,12.75510204,0.00086667
10-38,14,0.01400000,0.01275510,12.75510204,0.00093333
39-42,15,0.01500000,0.01275510,12.75510204,0.00100000
32-44,16,0.01600000,0.01275510,12.75510204,0.00106667
