groupOfNumbers = 2
totalNumberOfDraws = 2565
totalNumberOfNumbers = 15390

numbers,count,probHistory,probTheory,expected,share

9-22,25,0.00974659,0.01275510,32.71683673,0.00064977
9-38,40,0.01559454,0.01275510,32.71683673,0.00103964
21-41,30,0.01169591,0.01275510,32.71683673,0.00077973
9-39,30,0.01169591,0.01275510,32.71683673,0.00077973
7-9,36,0.01403509,0.01275510,32.71683673,0.00093567
9-23,31,0.01208577,0.01275510,32.71683673,0.00080572
5-41,29,0.01130604,0.01275510,32.71683673,0.00075374
9-48,29,0.01130604,0.01275510,32.71683673,0.00075374
9-16,31,0.01208577,0.01275510,32.71683673,0.00080572
9-32,30,0.01169591,0.01275510,32.71683673,0.00077973
13-41,30,0.01169591,0.01275510,32.71683673,0.00077973
9-40,34,0.01325536,0.01275510,32.71683673,0.00088369
8-9,27,0.01052632,0.01275510,32.71683673,0.00070175
9-24,30,0.01169591,0.01275510,32.71683673,0.00077973
9-47,27,0.01052632,0.01275510,32.71683673,0.00070175
9-31,36,0.01403509,0.01275510,32.71683673,0.00093567
9-15,30,0.01169591,0.01275510,32.71683673,0.00077973
9-13,34,0.01325536,0.01275510,32.71683673,0.00088369
15-46,39,0.01520468,0.01275510,32.71683673,0.00101365
31-38,36,0.01403509,0.01275510,32.71683673,0.00093567
14-31,33,0.01286550,0.01275510,32.71683673,0.00085770
46-47,29,0.01130604,0.01275510,32.71683673,0.00075374
22-23,32,0.01247563,0.01275510,32.71683673,0.00083171
12-36,39,0.01520468,0.01275510,32.71683673,0.00101365
14-15,34,0.01325536,0.01275510,32.71683673,0.00088369
22-39,25,0.00974659,0.01275510,32.71683673,0.00064977
21-37,41,0.01598441,0.01275510,32.71683673,0.00106563
14-47,31,0.01208577,0.01275510,32.71683673,0.00080572
38-47,24,0.00935673,0.01275510,32.71683673,0.00062378
5-37,34,0.01325536,0.01275510,32.71683673,0.00088369
6-31,31,0.01208577,0.01275510,32.71683673,0.00080572
30-40,32,0.01247563,0.01275510,32.71683673,0.00083171
20-28,32,0.01247563,0.01275510,32.71683673,0.00083171
2-34,27,0.01052632,0.01275510,32.71683673,0.00070175
23-46,34,0.01325536,0.01275510,32.71683673,0.00088369
15-38,36,0.01403509,0.01275510,32.71683673,0.00093567
14-39,34,0.01325536,0.01275510,32.71683673,0.00088369
29-45,27,0.01052632,0.01275510,32.71683673,0.00070175
24-30,29,0.01130604,0.01275510,32.71683673,0.00075374
6-15,48,0.01871345,0.01275510,32.71683673,0.00124756
14-23,34,0.01325536,0.01275510,32.71683673,0.00088369
6-47,33,0.01286550,0.01275510,32.71683673,0.00085770
27-43,24,0.00935673,0.01275510,32.71683673,0.00062378
39-46,41,0.01598441,0.01275510,32.71683673,0.00106563
7-22,28,0.01091618,0.01275510,32.71683673,0.00072775
30-48,36,0.01403509,0.01275510,32.71683673,0.00093567
30-47,45,0.01754386,0.01275510,32.71683673,0.00116959
4-44,36,0.01403509,0.01275510,32.71683673,0.00093567
8-38,36,0.01403509,0.01275510,32.71683673,0.00093567
6-48,39,0.01520468,0.01275510,32.71683673,0.00101365
22-32,36,0.01403509,0.01275510,32.71683673,0.00093567
6-8,36,0.01403509,0.01275510,32.71683673,0.00093567
32-38,38,0.01481481,0.01275510,32.71683673,0.00098765
30-31,32,0.01247563,0.01275510,32.71683673,0.00083171
22-24,29,0.01130604,0.01275510,32.71683673,0.00075374
3-19,25,0.00974659,0.01275510,32.71683673,0.00064977
22-40,32,0.01247563,0.01275510,32.71683673,0.00083171
38-48,39,0.01520468,0.01275510,32.71683673,0.00101365
16-38,51,0.01988304,0.01275510,32.71683673,0.00132554
8-21,32,0.01247563,0.01275510,32.71683673,0.00083171
45-46,24,0.00935673,0.01275510,32.71683673,0.00062378
16-21,40,0.01559454,0.01275510,32.71683673,0.00103964
14-45,31,0.01208577,0.01275510,32.71683673,0.00080572
21-48,22,0.00857700,0.01275510,32.71683673,0.00057180
13-39,31,0.01208577,0.01275510,32.71683673,0.00080572
12-28,39,0.01520468,0.01275510,32.71683673,0.00101365
7-29,36,0.01403509,0.01275510,32.71683673,0.00093567
21-32,35,0.01364522,0.01275510,32.71683673,0.00090968
29-48,33,0.01286550,0.01275510,32.71683673,0.00085770
37-46,34,0.01325536,0.01275510,32.71683673,0.00088369
16-29,28,0.01091618,0.01275510,32.71683673,0.00072775
29-32,34,0.01325536,0.01275510,32.71683673,0.00088369
5-7,37,0.01442495,0.01275510,32.71683673,0.00096166
14-37,35,0.01364522,0.01275510,32.71683673,0.00090968
8-29,28,0.01091618,0.01275510,32.71683673,0.00072775
5-39,40,0.01559454,0.01275510,32.71683673,0.00103964
30-45,22,0.00857700,0.01275510,32.71683673,0.00057180
37-38,36,0.01403509,0.01275510,32.71683673,0.00093567
13-16,48,0.01871345,0.01275510,32.71683673,0.00124756
15-21,42,0.01637427,0.01275510,32.71683673,0.00109162
21-47,24,0.00935673,0.01275510,32.71683673,0.00062378
5-15,39,0.01520468,0.01275510,32.71683673,0.00101365
21-31,34,0.01325536,0.01275510,32.71683673,0.00088369
8-13,32,0.01247563,0.01275510,32.71683673,0.00083171
6-37,32,0.01247563,0.01275510,32.71683673,0.00083171
13-40,39,0.01520468,0.01275510,32.71683673,0.00101365
4-20,42,0.01637427,0.01275510,32.71683673,0.00109162
13-48,18,0.00701754,0.01275510,32.71683673,0.00046784
21-39,48,0.01871345,0.01275510,32.71683673,0.00124756
2-18,40,0.01559454,0.01275510,32.71683673,0.00103964
22-37,36,0.01403509,0.01275510,32.71683673,0.00093567
13-32,38,0.01481481,0.01275510,32.71683673,0.00098765
7-21,40,0.01559454,0.01275510,32.71683673,0.00103964
5-23,31,0.01208577,0.01275510,32.71683673,0.00080572
9-41,37,0.01442495,0.01275510,32.71683673,0.00096166
13-24,39,0.01520468,0.01275510,32.71683673,0.00101365
15-29,30,0.01169591,0.01275510,32.71683673,0.00077973
13-31,40,0.01559454,0.01275510,32.71683673,0.00103964
21-40,37,0.01442495,0.01275510,32.71683673,0.00096166
21-24,37,0.01442495,0.01275510,32.71683673,0.00096166
10-26,37,0.01442495,0.01275510,32.71683673,0.00096166
23-29,37,0.01442495,0.01275510,32.71683673,0.00096166
20-44,37,0.01442495,0.01275510,32.71683673,0.00096166
22-45,29,0.01130604,0.01275510,32.71683673,0.00075374
13-15,45,0.01754386,0.01275510,32.71683673,0.00116959
5-32,33,0.01286550,0.01275510,32.71683673,0.00085770
5-48,36,0.01403509,0.01275510,32.71683673,0.00093567
5-16,30,0.01169591,0.01275510,32.71683673,0.00077973
23-39,30,0.01169591,0.01275510,32.71683673,0.00077973
14-46,34,0.01325536,0.01275510,32.71683673,0.00088369
8-16,36,0.01403509,0.01275510,32.71683673,0.00093567
24-48,28,0.01091618,0.01275510,32.71683673,0.00072775
6-38,34,0.01325536,0.01275510,32.71683673,0.00088369
8-32,34,0.01325536,0.01275510,32.71683673,0.00088369
40-48,27,0.01052632,0.01275510,32.71683673,0.00070175
16-32,36,0.01403509,0.01275510,32.71683673,0.00093567
24-40,27,0.01052632,0.01275510,32.71683673,0.00070175
15-47,28,0.01091618,0.01275510,32.71683673,0.00072775
31-47,32,0.01247563,0.01275510,32.71683673,0.00083171
22-46,27,0.01052632,0.01275510,32.71683673,0.00070175
7-31,21,0.00818713,0.01275510,32.71683673,0.00054581
15-23,25,0.00974659,0.01275510,32.71683673,0.00064977
15-39,36,0.01403509,0.01275510,32.71683673,0.00093567
14-38,37,0.01442495,0.01275510,32.71683673,0.00096166
30-38,34,0.01325536,0.01275510,32.71683673,0.00088369
8-47,29,0.01130604,0.01275510,32.71683673,0.00075374
7-48,37,0.01442495,0.01275510,32.71683673,0.00096166
15-24,29,0.01130604,0.01275510,32.71683673,0.00075374
3-35,32,0.01247563,0.01275510,32.71683673,0.00083171
21-29,32,0.01247563,0.01275510,32.71683673,0.00083171
8-15,31,0.01208577,0.01275510,32.71683673,0.00080572
15-40,30,0.01169591,0.01275510,32.71683673,0.00077973
7-32,41,0.01598441,0.01275510,32.71683673,0.00106563
5-13,31,0.01208577,0.01275510,32.71683673,0.00080572
16-47,29,0.01130604,0.01275510,32.71683673,0.00075374
14-30,38,0.01481481,0.01275510,32.71683673,0.00098765
15-16,28,0.01091618,0.01275510,32.71683673,0.00072775
32-47,24,0.00935673,0.01275510,32.71683673,0.00062378
7-16,34,0.01325536,0.01275510,32.71683673,0.00088369
47-48,29,0.01130604,0.01275510,32.71683673,0.00075374
15-32,31,0.01208577,0.01275510,32.71683673,0.00080572
13-21,31,0.01208577,0.01275510,32.71683673,0.00080572
15-48,30,0.01169591,0.01275510,32.71683673,0.00077973
7-8,39,0.01520468,0.01275510,32.71683673,0.00101365
7-40,32,0.01247563,0.01275510,32.71683673,0.00083171
24-47,35,0.01364522,0.01275510,32.71683673,0.00090968
40-47,28,0.01091618,0.01275510,32.71683673,0.00072775
7-24,28,0.01091618,0.01275510,32.71683673,0.00072775
22-38,38,0.01481481,0.01275510,32.71683673,0.00098765
6-22,34,0.01325536,0.01275510,32.71683673,0.00088369
8-48,39,0.01520468,0.01275510,32.71683673,0.00101365
7-47,38,0.01481481,0.01275510,32.71683673,0.00098765
16-40,37,0.01442495,0.01275510,32.71683673,0.00096166
16-24,40,0.01559454,0.01275510,32.71683673,0.00103964
7-15,22,0.00857700,0.01275510,32.71683673,0.00057180
32-40,33,0.01286550,0.01275510,32.71683673,0.00085770
23-31,27,0.01052632,0.01275510,32.71683673,0.00070175
8-40,38,0.01481481,0.01275510,32.71683673,0.00098765
32-48,33,0.01286550,0.01275510,32.71683673,0.00085770
16-48,27,0.01052632,0.01275510,32.71683673,0.00070175
31-39,27,0.01052632,0.01275510,32.71683673,0.00070175
8-24,38,0.01481481,0.01275510,32.71683673,0.00098765
24-32,28,0.01091618,0.01275510,32.71683673,0.00072775
31-37,26,0.01013645,0.01275510,32.71683673,0.00067576
6-29,26,0.01013645,0.01275510,32.71683673,0.00067576
5-30,33,0.01286550,0.01275510,32.71683673,0.00085770
13-14,45,0.01754386,0.01275510,32.71683673,0.00116959
21-38,38,0.01481481,0.01275510,32.71683673,0.00098765
20-36,29,0.01130604,0.01275510,32.71683673,0.00075374
37-47,35,0.01364522,0.01275510,32.71683673,0.00090968
32-37,31,0.01208577,0.01275510,32.71683673,0.00080572
29-30,23,0.00896686,0.01275510,32.71683673,0.00059779
5-14,29,0.01130604,0.01275510,32.71683673,0.00075374
8-37,32,0.01247563,0.01275510,32.71683673,0.00083171
6-21,29,0.01130604,0.01275510,32.71683673,0.00075374
31-45,27,0.01052632,0.01275510,32.71683673,0.00070175
7-45,31,0.01208577,0.01275510,32.71683673,0.00080572
12-20,35,0.01364522,0.01275510,32.71683673,0.00090968
5-22,27,0.01052632,0.01275510,32.71683673,0.00070175
14-21,30,0.01169591,0.01275510,32.71683673,0.00077973
21-22,31,0.01208577,0.01275510,32.71683673,0.00080572
23-45,27,0.01052632,0.01275510,32.71683673,0.00070175
37-48,36,0.01403509,0.01275510,32.71683673,0.00093567
13-38,46,0.01793372,0.01275510,32.71683673,0.00119558
29-46,30,0.01169591,0.01275510,32.71683673,0.00077973
2-19,34,0.01325536,0.01275510,32.71683673,0.00088369
9-17,42,0.01637427,0.01275510,32.71683673,0.00109162
23-49,48,0.01871345,0.01275510,32.71683673,0.00124756
12-33,30,0.01169591,0.01275510,32.71683673,0.00077973
39-49,38,0.01481481,0.01275510,32.71683673,0.00098765
15-49,41,0.01598441,0.01275510,32.71683673,0.00106563
33-44,27,0.01052632,0.01275510,32.71683673,0.00070175
47-49,38,0.01481481,0.01275510,32.71683673,0.00098765
13-17,42,0.01637427,0.01275510,32.71683673,0.00109162
6-44,37,0.01442495,0.01275510,32.71683673,0.00096166
4-16,41,0.01598441,0.01275510,32.71683673,0.00106563
12-46,26,0.01013645,0.01275510,32.71683673,0.00067576
4-48,34,0.01325536,0.01275510,32.71683673,0.00088369
4-32,30,0.01169591,0.01275510,32.71683673,0.00077973
38-44,44,0.01715400,0.01275510,32.71683673,0.00114360
13-20,33,0.01286550,0.01275510,32.71683673,0.00085770
12-14,32,0.01247563,0.01275510,32.71683673,0.00083171
36-39,41,0.01598441,0.01275510,32.71683673,0.00106563
12-22,31,0.01208577,0.01275510,32.71683673,0.00080572
5-20,43,0.01676413,0.01275510,32.71683673,0.00111761
25-41,38,0.01481481,0.01275510,32.71683673,0.00098765
9-25,28,0.01091618,0.01275510,32.71683673,0.00072775
22-44,29,0.01130604,0.01275510,32.71683673,0.00075374
20-45,34,0.01325536,0.01275510,32.71683673,0.00088369
4-40,36,0.01403509,0.01275510,32.71683673,0.00093567
4-8,35,0.01364522,0.01275510,32.71683673,0.00090968
4-24,36,0.01403509,0.01275510,32.71683673,0.00093567
13-25,40,0.01559454,0.01275510,32.71683673,0.00103964
17-25,35,0.01364522,0.01275510,32.71683673,0.00090968
42-48,28,0.01091618,0.01275510,32.71683673,0.00072775
24-42,25,0.00974659,0.01275510,32.71683673,0.00064977
6-10,42,0.01637427,0.01275510,32.71683673,0.00109162
40-42,31,0.01208577,0.01275510,32.71683673,0.00080572
4-34,40,0.01559454,0.01275510,32.71683673,0.00103964
1-44,42,0.01637427,0.01275510,32.71683673,0.00109162
28-33,31,0.01208577,0.01275510,32.71683673,0.00080572
17-31,32,0.01247563,0.01275510,32.71683673,0.00083171
25-31,34,0.01325536,0.01275510,32.71683673,0.00088369
4-41,39,0.01520468,0.01275510,32.71683673,0.00101365
25-47,35,0.01364522,0.01275510,32.71683673,0.00090968
18-32,20,0.00779727,0.01275510,32.71683673,0.00051982
2-13,34,0.01325536,0.01275510,32.71683673,0.00088369
2-21,28,0.01091618,0.01275510,32.71683673,0.00072775
17-41,40,0.01559454,0.01275510,32.71683673,0.00103964
31-41,32,0.01247563,0.01275510,32.71683673,0.00083171
22-26,29,0.01130604,0.01275510,32.71683673,0.00075374
2-12,36,0.01403509,0.01275510,32.71683673,0.00093567
6-26,32,0.01247563,0.01275510,32.71683673,0.00083171
2-46,38,0.01481481,0.01275510,32.71683673,0.00098765
8-34,20,0.00779727,0.01275510,32.71683673,0.00051982
34-48,26,0.01013645,0.01275510,32.71683673,0.00067576
16-34,33,0.01286550,0.01275510,32.71683673,0.00085770
2-14,36,0.01403509,0.01275510,32.71683673,0.00093567
32-34,40,0.01559454,0.01275510,32.71683673,0.00103964
14-20,30,0.01169591,0.01275510,32.71683673,0.00077973
28-32,43,0.01676413,0.01275510,32.71683673,0.00111761
37-44,33,0.01286550,0.01275510,32.71683673,0.00085770
2-42,27,0.01052632,0.01275510,32.71683673,0.00070175
12-21,43,0.01676413,0.01275510,32.71683673,0.00111761
28-48,31,0.01208577,0.01275510,32.71683673,0.00080572
16-28,31,0.01208577,0.01275510,32.71683673,0.00080572
18-37,26,0.01013645,0.01275510,32.71683673,0.00067576
2-15,32,0.01247563,0.01275510,32.71683673,0.00083171
2-39,34,0.01325536,0.01275510,32.71683673,0.00088369
2-7,31,0.01208577,0.01275510,32.71683673,0.00080572
14-34,34,0.01325536,0.01275510,32.71683673,0.00088369
31-44,29,0.01130604,0.01275510,32.71683673,0.00075374
12-39,32,0.01247563,0.01275510,32.71683673,0.00083171
22-36,29,0.01130604,0.01275510,32.71683673,0.00075374
13-28,35,0.01364522,0.01275510,32.71683673,0.00090968
4-30,41,0.01598441,0.01275510,32.71683673,0.00106563
7-12,34,0.01325536,0.01275510,32.71683673,0.00088369
3-25,31,0.01208577,0.01275510,32.71683673,0.00080572
2-49,46,0.01793372,0.01275510,32.71683673,0.00119558
12-49,35,0.01364522,0.01275510,32.71683673,0.00090968
14-49,41,0.01598441,0.01275510,32.71683673,0.00106563
17-46,37,0.01442495,0.01275510,32.71683673,0.00096166
21-49,40,0.01559454,0.01275510,32.71683673,0.00103964
26-28,31,0.01208577,0.01275510,32.71683673,0.00080572
2-5,46,0.01793372,0.01275510,32.71683673,0.00119558
1-8,23,0.00896686,0.01275510,32.71683673,0.00059779
1-40,37,0.01442495,0.01275510,32.71683673,0.00096166
33-37,20,0.00779727,0.01275510,32.71683673,0.00051982
1-48,24,0.00935673,0.01275510,32.71683673,0.00062378
9-26,24,0.00935673,0.01275510,32.71683673,0.00062378
10-45,34,0.01325536,0.01275510,32.71683673,0.00088369
23-26,34,0.01325536,0.01275510,32.71683673,0.00088369
13-42,31,0.01208577,0.01275510,32.71683673,0.00080572
18-36,29,0.01130604,0.01275510,32.71683673,0.00075374
26-39,24,0.00935673,0.01275510,32.71683673,0.00062378
7-26,29,0.01130604,0.01275510,32.71683673,0.00075374
9-49,35,0.01364522,0.01275510,32.71683673,0.00090968
22-49,36,0.01403509,0.01275510,32.71683673,0.00093567
25-27,34,0.01325536,0.01275510,32.71683673,0.00088369
10-17,35,0.01364522,0.01275510,32.71683673,0.00090968
26-49,28,0.01091618,0.01275510,32.71683673,0.00072775
1-19,39,0.01520468,0.01275510,32.71683673,0.00101365
1-26,33,0.01286550,0.01275510,32.71683673,0.00085770
4-25,38,0.01481481,0.01275510,32.71683673,0.00098765
19-26,20,0.00779727,0.01275510,32.71683673,0.00051982
1-32,30,0.01169591,0.01275510,32.71683673,0.00077973
6-35,28,0.01091618,0.01275510,32.71683673,0.00072775
19-48,27,0.01052632,0.01275510,32.71683673,0.00070175
16-19,36,0.01403509,0.01275510,32.71683673,0.00093567
4-11,33,0.01286550,0.01275510,32.71683673,0.00085770
19-32,29,0.01130604,0.01275510,32.71683673,0.00075374
26-32,39,0.01520468,0.01275510,32.71683673,0.00101365
16-26,32,0.01247563,0.01275510,32.71683673,0.00083171
26-48,27,0.01052632,0.01275510,32.71683673,0.00070175
8-26,32,0.01247563,0.01275510,32.71683673,0.00083171
13-33,26,0.01013645,0.01275510,32.71683673,0.00067576
1-6,37,0.01442495,0.01275510,32.71683673,0.00096166
1-38,39,0.01520468,0.01275510,32.71683673,0.00101365
3-23,35,0.01364522,0.01275510,32.71683673,0.00090968
19-38,39,0.01520468,0.01275510,32.71683673,0.00101365
24-35,34,0.01325536,0.01275510,32.71683673,0.00088369
35-40,26,0.01013645,0.01275510,32.71683673,0.00067576
11-44,37,0.01442495,0.01275510,32.71683673,0.00096166
18-28,31,0.01208577,0.01275510,32.71683673,0.00080572
42-45,39,0.01520468,0.01275510,32.71683673,0.00101365
26-38,37,0.01442495,0.01275510,32.71683673,0.00096166
38-42,33,0.01286550,0.01275510,32.71683673,0.00085770
26-45,30,0.01169591,0.01275510,32.71683673,0.00077973
10-23,33,0.01286550,0.01275510,32.71683673,0.00085770
1-41,40,0.01559454,0.01275510,32.71683673,0.00103964
10-39,30,0.01169591,0.01275510,32.71683673,0.00077973
6-42,43,0.01676413,0.01275510,32.71683673,0.00111761
7-10,42,0.01637427,0.01275510,32.71683673,0.00109162
19-41,33,0.01286550,0.01275510,32.71683673,0.00085770
26-41,24,0.00935673,0.01275510,32.71683673,0.00062378
16-41,25,0.00974659,0.01275510,32.71683673,0.00064977
20-25,37,0.01442495,0.01275510,32.71683673,0.00096166
32-41,40,0.01559454,0.01275510,32.71683673,0.00103964
38-41,32,0.01247563,0.01275510,32.71683673,0.00083171
5-9,34,0.01325536,0.01275510,32.71683673,0.00088369
1-42,33,0.01286550,0.01275510,32.71683673,0.00085770
6-41,36,0.01403509,0.01275510,32.71683673,0.00093567
11-24,29,0.01130604,0.01275510,32.71683673,0.00075374
39-43,32,0.01247563,0.01275510,32.71683673,0.00083171
27-46,34,0.01325536,0.01275510,32.71683673,0.00088369
11-40,25,0.00974659,0.01275510,32.71683673,0.00064977
8-11,22,0.00857700,0.01275510,32.71683673,0.00057180
35-44,32,0.01247563,0.01275510,32.71683673,0.00083171
23-43,23,0.00896686,0.01275510,32.71683673,0.00059779
11-16,38,0.01481481,0.01275510,32.71683673,0.00098765
11-33,31,0.01208577,0.01275510,32.71683673,0.00080572
8-33,25,0.00974659,0.01275510,32.71683673,0.00064977
1-5,38,0.01481481,0.01275510,32.71683673,0.00098765
28-49,40,0.01559454,0.01275510,32.71683673,0.00103964
32-33,37,0.01442495,0.01275510,32.71683673,0.00096166
33-48,33,0.01286550,0.01275510,32.71683673,0.00085770
16-33,27,0.01052632,0.01275510,32.71683673,0.00070175
11-39,38,0.01481481,0.01275510,32.71683673,0.00098765
27-38,28,0.01091618,0.01275510,32.71683673,0.00072775
6-27,33,0.01286550,0.01275510,32.71683673,0.00085770
3-12,32,0.01247563,0.01275510,32.71683673,0.00083171
23-48,30,0.01169591,0.01275510,32.71683673,0.00077973
24-31,36,0.01403509,0.01275510,32.71683673,0.00093567
16-23,27,0.01052632,0.01275510,32.71683673,0.00070175
37-45,28,0.01091618,0.01275510,32.71683673,0.00072775
8-39,23,0.00896686,0.01275510,32.71683673,0.00059779
5-29,30,0.01169591,0.01275510,32.71683673,0.00077973
23-32,37,0.01442495,0.01275510,32.71683673,0.00096166
31-40,27,0.01052632,0.01275510,32.71683673,0.00070175
6-30,38,0.01481481,0.01275510,32.71683673,0.00098765
16-39,24,0.00935673,0.01275510,32.71683673,0.00062378
30-46,43,0.01676413,0.01275510,32.71683673,0.00111761
39-48,22,0.00857700,0.01275510,32.71683673,0.00057180
32-39,38,0.01481481,0.01275510,32.71683673,0.00098765
8-23,40,0.01559454,0.01275510,32.71683673,0.00103964
33-39,24,0.00935673,0.01275510,32.71683673,0.00062378
11-42,25,0.00974659,0.01275510,32.71683673,0.00064977
8-42,29,0.01130604,0.01275510,32.71683673,0.00075374
32-42,27,0.01052632,0.01275510,32.71683673,0.00070175
2-28,32,0.01247563,0.01275510,32.71683673,0.00083171
16-42,41,0.01598441,0.01275510,32.71683673,0.00106563
12-25,37,0.01442495,0.01275510,32.71683673,0.00096166
33-42,28,0.01091618,0.01275510,32.71683673,0.00072775
23-42,31,0.01208577,0.01275510,32.71683673,0.00080572
10-38,40,0.01559454,0.01275510,32.71683673,0.00103964
39-42,33,0.01286550,0.01275510,32.71683673,0.00085770
32-44,47,0.01832359,0.01275510,32.71683673,0.00122157
10-34,34,0.01325536,0.01275510,32.71683673,0.00088369
5-28,29,0.01130604,0.01275510,32.71683673,0.00075374
16-44,32,0.01247563,0.01275510,32.71683673,0.00083171
6-36,38,0.01481481,0.01275510,32.71683673,0.00098765
12-31,24,0.00935673,0.01275510,32.71683673,0.00062378
28-45,36,0.01403509,0.01275510,32.71683673,0.00093567
35-43,29,0.01130604,0.01275510,32.71683673,0.00075374
23-44,36,0.01403509,0.01275510,32.71683673,0.00093567
12-15,39,0.01520468,0.01275510,32.71683673,0.00101365
36-38,41,0.01598441,0.01275510,32.71683673,0.00106563
39-44,25,0.00974659,0.01275510,32.71683673,0.00064977
12-47,35,0.01364522,0.01275510,32.71683673,0.00090968
42-44,35,0.01364522,0.01275510,32.71683673,0.00090968
18-22,34,0.01325536,0.01275510,32.71683673,0.00088369
4-29,41,0.01598441,0.01275510,32.71683673,0.00106563
36-45,31,0.01208577,0.01275510,32.71683673,0.00080572
5-12,32,0.01247563,0.01275510,32.71683673,0.00083171
12-13,35,0.01364522,0.01275510,32.71683673,0.00090968
36-37,53,0.02066277,0.01275510,32.71683673,0.00137752
20-47,33,0.01286550,0.01275510,32.71683673,0.00085770
15-20,40,0.01559454,0.01275510,32.71683673,0.00103964
