groupOfNumbers = 6
totalNumberOfDraws = 2565
totalNumberOfNumbers = 15390

numbers,count,probHistory,probTheory,expected,share

5-15-33-39-40-42,1,0.00038986,0.00000007,0.00018343,0.00038986
6-23-24-25-31-44,1,0.00038986,0.00000007,0.00018343,0.00038986
8-17-24-26-28-29,1,0.00038986,0.00000007,0.00018343,0.00038986
8-9-13-15-38-48,1,0.00038986,0.00000007,0.00018343,0.00038986
14-19-22-25-37-43,1,0.00038986,0.00000007,0.00018343,0.00038986
8-9-30-31-45-47,1,0.00038986,0.00000007,0.00018343,0.00038986
3-9-36-39-43-47,1,0.00038986,0.00000007,0.00018343,0.00038986
8-9-12-20-28-44,1,0.00038986,0.00000007,0.00018343,0.00038986
2-5-6-9-10-36,1,0.00038986,0.00000007,0.00018343,0.00038986
1-6-15-26-29-30,1,0.00038986,0.00000007,0.00018343,0.00038986
9-13-17-25-31-41,1,0.00038986,0.00000007,0.00018343,0.00038986
9-11-14-15-33-49,1,0.00038986,0.00000007,0.00018343,0.00038986
1-9-17-30-31-38,1,0.00038986,0.00000007,0.00018343,0.00038986
1-5-15-25-44-49,1,0.00038986,0.00000007,0.00018343,0.00038986
7-8-14-19-25-28,1,0.00038986,0.00000007,0.00018343,0.00038986
2-4-14-18-27-41,1,0.00038986,0.00000007,0.00018343,0.00038986
2-12-14-21-39-49,1,0.00038986,0.00000007,0.00018343,0.00038986
6-9-24-28-43-48,1,0.00038986,0.00000007,0.00018343,0.00038986
1-4-24-26-27-30,1,0.00038986,0.00000007,0.00018343,0.00038986
2-17-20-22-46-48,1,0.00038986,0.00000007,0.00018343,0.00038986
11-16-33-39-42-44,1,0.00038986,0.00000007,0.00018343,0.00038986
4-13-15-18-20-33,1,0.00038986,0.00000007,0.00018343,0.00038986
2-4-5-6-20-48,1,0.00038986,0.00000007,0.00018343,0.00038986
6-8-14-22-34-40,1,0.00038986,0.00000007,0.00018343,0.00038986
2-8-13-21-22-30,1,0.00038986,0.00000007,0.00018343,0.00038986
5-19-34-43-44-46,1,0.00038986,0.00000007,0.00018343,0.00038986
2-5-13-14-15-39,1,0.00038986,0.00000007,0.00018343,0.00038986
11-16-18-23-27-42,1,0.00038986,0.00000007,0.00018343,0.00038986
16-21-31-32-36-45,1,0.00038986,0.00000007,0.00018343,0.00038986
3-7-21-27-32-45,1,0.00038986,0.00000007,0.00018343,0.00038986
6-7-15-27-43-44,1,0.00038986,0.00000007,0.00018343,0.00038986
10-12-13-23-26-38,1,0.00038986,0.00000007,0.00018343,0.00038986
3-11-19-21-27-44,1,0.00038986,0.00000007,0.00018343,0.00038986
7-8-12-16-40-48,1,0.00038986,0.00000007,0.00018343,0.00038986
9-12-21-25-44-48,1,0.00038986,0.00000007,0.00018343,0.00038986
5-9-13-25-30-47,1,0.00038986,0.00000007,0.00018343,0.00038986
5-6-7-11-36-43,1,0.00038986,0.00000007,0.00018343,0.00038986
5-8-22-23-37-44,1,0.00038986,0.00000007,0.00018343,0.00038986
13-18-32-34-36-39,1,0.00038986,0.00000007,0.00018343,0.00038986
1-18-34-45-47-49,1,0.00038986,0.00000007,0.00018343,0.00038986
9-22-23-26-39-49,1,0.00038986,0.00000007,0.00018343,0.00038986
3-6-14-23-32-43,1,0.00038986,0.00000007,0.00018343,0.00038986
7-15-21-23-33-49,1,0.00038986,0.00000007,0.00018343,0.00038986
6-11-15-19-29-39,1,0.00038986,0.00000007,0.00018343,0.00038986
5-12-13-16-23-24,1,0.00038986,0.00000007,0.00018343,0.00038986
7-15-34-37-39-42,1,0.00038986,0.00000007,0.00018343,0.00038986
5-9-15-20-41-45,1,0.00038986,0.00000007,0.00018343,0.00038986
6-19-20-25-41-43,1,0.00038986,0.00000007,0.00018343,0.00038986
13-15-29-30-35-45,1,0.00038986,0.00000007,0.00018343,0.00038986
3-12-19-31-40-43,1,0.00038986,0.00000007,0.00018343,0.00038986
18-22-26-30-31-43,1,0.00038986,0.00000007,0.00018343,0.00038986
6-11-23-37-44-46,1,0.00038986,0.00000007,0.00018343,0.00038986
1-19-26-32-38-41,1,0.00038986,0.00000007,0.00018343,0.00038986
1-5-11-38-42-46,1,0.00038986,0.00000007,0.00018343,0.00038986
2-10-19-25-30-36,1,0.00038986,0.00000007,0.00018343,0.00038986
2-7-11-15-41-46,1,0.00038986,0.00000007,0.00018343,0.00038986
1-4-6-11-24-45,1,0.00038986,0.00000007,0.00018343,0.00038986
5-11-20-36-47-49,1,0.00038986,0.00000007,0.00018343,0.00038986
16-19-32-33-40-48,1,0.00038986,0.00000007,0.00018343,0.00038986
3-7-8-9-24-42,1,0.00038986,0.00000007,0.00018343,0.00038986
12-19-25-32-42-48,1,0.00038986,0.00000007,0.00018343,0.00038986
2-28-35-46-47-48,1,0.00038986,0.00000007,0.00018343,0.00038986
14-31-33-34-41-42,1,0.00038986,0.00000007,0.00018343,0.00038986
5-10-32-35-37-38,1,0.00038986,0.00000007,0.00018343,0.00038986
13-21-28-29-34-35,1,0.00038986,0.00000007,0.00018343,0.00038986
18-21-35-36-37-45,1,0.00038986,0.00000007,0.00018343,0.00038986
1-21-25-27-32-47,1,0.00038986,0.00000007,0.00018343,0.00038986
2-6-12-24-31-36,1,0.00038986,0.00000007,0.00018343,0.00038986
1-3-10-15-17-44,1,0.00038986,0.00000007,0.00018343,0.00038986
2-3-6-7-43-44,1,0.00038986,0.00000007,0.00018343,0.00038986
2-6-13-27-35-44,1,0.00038986,0.00000007,0.00018343,0.00038986
2-13-16-31-32-40,1,0.00038986,0.00000007,0.00018343,0.00038986
2-6-14-29-31-48,1,0.00038986,0.00000007,0.00018343,0.00038986
2-17-32-39-47-49,1,0.00038986,0.00000007,0.00018343,0.00038986
2-13-28-39-43-46,1,0.00038986,0.00000007,0.00018343,0.00038986
7-12-15-35-42-47,1,0.00038986,0.00000007,0.00018343,0.00038986
2-12-19-32-39-44,1,0.00038986,0.00000007,0.00018343,0.00038986
2-12-28-35-38-40,1,0.00038986,0.00000007,0.00018343,0.00038986
5-8-11-31-42-48,1,0.00038986,0.00000007,0.00018343,0.00038986
1-22-23-24-42-44,1,0.00038986,0.00000007,0.00018343,0.00038986
6-10-15-16-17-27,1,0.00038986,0.00000007,0.00018343,0.00038986
3-10-15-30-31-49,1,0.00038986,0.00000007,0.00018343,0.00038986
9-10-14-26-28-47,1,0.00038986,0.00000007,0.00018343,0.00038986
4-5-9-27-35-45,1,0.00038986,0.00000007,0.00018343,0.00038986
3-17-18-20-29-30,1,0.00038986,0.00000007,0.00018343,0.00038986
6-11-13-21-25-43,1,0.00038986,0.00000007,0.00018343,0.00038986
2-10-22-26-31-40,1,0.00038986,0.00000007,0.00018343,0.00038986
24-31-33-34-44-49,1,0.00038986,0.00000007,0.00018343,0.00038986
8-14-23-30-42-44,1,0.00038986,0.00000007,0.00018343,0.00038986
13-15-22-28-34-44,1,0.00038986,0.00000007,0.00018343,0.00038986
1-17-18-20-23-31,1,0.00038986,0.00000007,0.00018343,0.00038986
5-10-12-30-37-48,1,0.00038986,0.00000007,0.00018343,0.00038986
11-14-18-20-30-41,1,0.00038986,0.00000007,0.00018343,0.00038986
18-40-42-43-45-49,1,0.00038986,0.00000007,0.00018343,0.00038986
1-3-6-12-13-14,1,0.00038986,0.00000007,0.00018343,0.00038986
11-15-19-27-28-45,1,0.00038986,0.00000007,0.00018343,0.00038986
2-13-21-26-31-35,1,0.00038986,0.00000007,0.00018343,0.00038986
4-5-26-27-30-34,1,0.00038986,0.00000007,0.00018343,0.00038986
6-25-32-35-41-44,1,0.00038986,0.00000007,0.00018343,0.00038986
8-15-23-43-45-47,1,0.00038986,0.00000007,0.00018343,0.00038986
5-12-21-24-27-36,1,0.00038986,0.00000007,0.00018343,0.00038986
1-6-8-35-38-49,1,0.00038986,0.00000007,0.00018343,0.00038986
3-13-19-35-40-43,1,0.00038986,0.00000007,0.00018343,0.00038986
1-6-12-36-37-49,1,0.00038986,0.00000007,0.00018343,0.00038986
4-7-25-30-41-44,1,0.00038986,0.00000007,0.00018343,0.00038986
4-13-14-16-38-47,1,0.00038986,0.00000007,0.00018343,0.00038986
14-27-33-43-48-49,1,0.00038986,0.00000007,0.00018343,0.00038986
8-29-30-39-44-48,1,0.00038986,0.00000007,0.00018343,0.00038986
11-20-21-27-39-46,1,0.00038986,0.00000007,0.00018343,0.00038986
8-12-21-23-40-48,1,0.00038986,0.00000007,0.00018343,0.00038986
26-28-33-41-43-47,1,0.00038986,0.00000007,0.00018343,0.00038986
1-9-25-41-42-48,1,0.00038986,0.00000007,0.00018343,0.00038986
6-7-24-31-34-42,1,0.00038986,0.00000007,0.00018343,0.00038986
1-22-32-33-38-44,1,0.00038986,0.00000007,0.00018343,0.00038986
8-14-15-28-40-46,1,0.00038986,0.00000007,0.00018343,0.00038986
2-6-13-18-20-47,1,0.00038986,0.00000007,0.00018343,0.00038986
8-10-21-34-46-48,1,0.00038986,0.00000007,0.00018343,0.00038986
1-15-22-31-45-49,1,0.00038986,0.00000007,0.00018343,0.00038986
3-7-10-22-26-43,1,0.00038986,0.00000007,0.00018343,0.00038986
5-6-14-36-40-48,1,0.00038986,0.00000007,0.00018343,0.00038986
7-13-21-29-31-36,1,0.00038986,0.00000007,0.00018343,0.00038986
5-12-34-41-47-49,1,0.00038986,0.00000007,0.00018343,0.00038986
2-9-28-33-36-40,1,0.00038986,0.00000007,0.00018343,0.00038986
4-16-24-29-30-32,1,0.00038986,0.00000007,0.00018343,0.00038986
3-4-7-8-14-26,1,0.00038986,0.00000007,0.00018343,0.00038986
2-16-19-22-30-39,1,0.00038986,0.00000007,0.00018343,0.00038986
1-16-25-28-38-42,1,0.00038986,0.00000007,0.00018343,0.00038986
6-14-22-30-46-47,1,0.00038986,0.00000007,0.00018343,0.00038986
11-15-19-20-22-40,1,0.00038986,0.00000007,0.00018343,0.00038986
13-14-33-36-37-49,1,0.00038986,0.00000007,0.00018343,0.00038986
3-11-12-15-22-32,1,0.00038986,0.00000007,0.00018343,0.00038986
16-22-30-38-40-47,1,0.00038986,0.00000007,0.00018343,0.00038986
7-10-21-22-42-45,1,0.00038986,0.00000007,0.00018343,0.00038986
1-5-6-19-35-44,1,0.00038986,0.00000007,0.00018343,0.00038986
25-26-32-38-39-46,1,0.00038986,0.00000007,0.00018343,0.00038986
1-18-31-37-42-43,1,0.00038986,0.00000007,0.00018343,0.00038986
9-15-30-32-38-42,1,0.00038986,0.00000007,0.00018343,0.00038986
7-13-25-28-34-43,1,0.00038986,0.00000007,0.00018343,0.00038986
4-7-8-28-33-45,1,0.00038986,0.00000007,0.00018343,0.00038986
1-5-7-21-22-37,1,0.00038986,0.00000007,0.00018343,0.00038986
9-26-31-40-45-48,1,0.00038986,0.00000007,0.00018343,0.00038986
21-31-34-42-45-49,1,0.00038986,0.00000007,0.00018343,0.00038986
4-8-16-33-36-38,1,0.00038986,0.00000007,0.00018343,0.00038986
2-4-10-15-26-41,1,0.00038986,0.00000007,0.00018343,0.00038986
12-20-21-23-33-39,1,0.00038986,0.00000007,0.00018343,0.00038986
2-6-25-26-30-42,1,0.00038986,0.00000007,0.00018343,0.00038986
20-22-25-26-30-47,1,0.00038986,0.00000007,0.00018343,0.00038986
8-22-31-43-45-49,1,0.00038986,0.00000007,0.00018343,0.00038986
2-11-18-26-36-41,1,0.00038986,0.00000007,0.00018343,0.00038986
4-25-26-30-32-35,1,0.00038986,0.00000007,0.00018343,0.00038986
12-16-19-27-33-35,1,0.00038986,0.00000007,0.00018343,0.00038986
4-16-34-35-41-47,1,0.00038986,0.00000007,0.00018343,0.00038986
5-11-33-38-44-46,1,0.00038986,0.00000007,0.00018343,0.00038986
11-13-17-29-30-46,1,0.00038986,0.00000007,0.00018343,0.00038986
5-9-17-21-22-25,1,0.00038986,0.00000007,0.00018343,0.00038986
14-19-20-45-48-49,1,0.00038986,0.00000007,0.00018343,0.00038986
4-6-11-16-24-41,1,0.00038986,0.00000007,0.00018343,0.00038986
6-9-12-26-45-46,1,0.00038986,0.00000007,0.00018343,0.00038986
22-25-30-34-37-43,1,0.00038986,0.00000007,0.00018343,0.00038986
10-20-26-33-37-38,1,0.00038986,0.00000007,0.00018343,0.00038986
13-17-20-27-32-33,1,0.00038986,0.00000007,0.00018343,0.00038986
8-10-34-35-37-48,1,0.00038986,0.00000007,0.00018343,0.00038986
5-12-15-32-35-46,1,0.00038986,0.00000007,0.00018343,0.00038986
11-14-16-23-40-46,1,0.00038986,0.00000007,0.00018343,0.00038986
17-25-26-27-32-37,1,0.00038986,0.00000007,0.00018343,0.00038986
5-7-13-25-29-48,1,0.00038986,0.00000007,0.00018343,0.00038986
10-13-18-25-32-44,1,0.00038986,0.00000007,0.00018343,0.00038986
3-10-14-45-47-49,1,0.00038986,0.00000007,0.00018343,0.00038986
1-7-26-36-37-40,1,0.00038986,0.00000007,0.00018343,0.00038986
4-14-25-27-43-44,1,0.00038986,0.00000007,0.00018343,0.00038986
21-23-32-45-46-47,1,0.00038986,0.00000007,0.00018343,0.00038986
11-20-24-38-41-46,1,0.00038986,0.00000007,0.00018343,0.00038986
2-4-21-32-40-49,1,0.00038986,0.00000007,0.00018343,0.00038986
11-21-25-26-42-46,1,0.00038986,0.00000007,0.00018343,0.00038986
3-9-29-30-32-47,1,0.00038986,0.00000007,0.00018343,0.00038986
7-10-20-30-35-39,1,0.00038986,0.00000007,0.00018343,0.00038986
1-14-20-31-35-41,1,0.00038986,0.00000007,0.00018343,0.00038986
6-10-20-32-35-48,1,0.00038986,0.00000007,0.00018343,0.00038986
1-13-26-40-45-49,1,0.00038986,0.00000007,0.00018343,0.00038986
3-23-28-31-42-46,1,0.00038986,0.00000007,0.00018343,0.00038986
27-33-38-43-45-47,1,0.00038986,0.00000007,0.00018343,0.00038986
3-10-11-13-18-33,1,0.00038986,0.00000007,0.00018343,0.00038986
1-4-5-14-18-39,1,0.00038986,0.00000007,0.00018343,0.00038986
10-11-13-20-27-49,1,0.00038986,0.00000007,0.00018343,0.00038986
3-9-26-31-42-44,1,0.00038986,0.00000007,0.00018343,0.00038986
9-19-20-22-27-44,1,0.00038986,0.00000007,0.00018343,0.00038986
7-8-21-30-39-47,1,0.00038986,0.00000007,0.00018343,0.00038986
